# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  242,19971023,    1,  350,   60,   60,   90,  103,     ,   74,     ,     ,     ,     ,10157,   68,     ,   82,     ,    6,     ,     ,     ,     ,     
  242,19971023,    2,  340,   70,   70,   90,  108,     ,   56,     ,     ,     ,     ,10156,   78,     ,   70,     ,    6,     ,     ,     ,     ,     
  242,19971023,    3,  350,   90,   80,  120,  105,     ,   57,     ,     ,     ,     ,10154,   74,     ,   72,     ,    6,     ,     ,     ,     ,     
  242,19971023,    4,  340,   80,   70,  100,  107,     ,   44,     ,     ,     ,     ,10153,   82,     ,   65,     ,    6,     ,     ,     ,     ,     
  242,19971023,    5,  320,   70,   70,  100,  107,     ,   40,     ,     ,     ,     ,10153,   74,    7,   63,     ,    2,     ,     ,     ,     ,     
  242,19971023,    6,  310,   70,   60,  100,  107,   91,   46,     ,     ,     ,     ,10153,   70,    7,   66,     ,    2,     ,     ,     ,     ,     
  242,19971023,    7,  340,   70,   60,  100,  107,     ,   42,     ,     ,     ,     ,10156,   70,    8,   64,     ,    2,     ,     ,     ,     ,     
  242,19971023,    8,  340,   60,   60,   80,  109,     ,   35,     ,     ,     ,     ,10157,   70,    8,   60,     ,    2,     ,     ,     ,     ,     
  242,19971023,    9,  340,   70,   60,  100,  103,     ,   40,     ,     ,     ,     ,10159,   70,    7,   65,   80,    1,     ,     ,     ,     ,     
  242,19971023,   10,  360,   70,   60,  100,  104,     ,   50,     ,     ,     ,     ,10160,   75,    6,   69,   25,    1,     ,     ,     ,     ,     
  242,19971023,   11,  340,   50,   60,   80,  113,     ,   50,     ,     ,     ,     ,10159,   75,    4,   65,     ,    2,     ,     ,     ,     ,     
  242,19971023,   12,  330,   70,   70,  110,  108,   99,   53,     ,     ,     ,     ,10161,   75,    6,   69,   25,    2,     ,     ,     ,     ,     
  242,19971023,   13,  340,   70,   80,  100,  114,     ,   53,     ,     ,     ,     ,10159,   78,    3,   66,     ,    2,     ,     ,     ,     ,     
  242,19971023,   14,  330,   70,   70,  100,  109,     ,   54,     ,     ,     ,     ,10157,   80,    5,   69,   25,    1,     ,     ,     ,     ,     
  242,19971023,   15,  340,   90,   90,  120,  102,     ,   54,     ,     ,     ,     ,10156,   80,     ,   72,     ,    6,     ,     ,     ,     ,     
  242,19971023,   16,  330,  100,  100,  150,   99,     ,   53,     ,     ,     ,     ,10159,   81,     ,   73,     ,    6,     ,     ,     ,     ,     
  242,19971023,   17,  330,  110,   90,  150,  101,     ,   59,     ,     ,     ,     ,10161,   70,     ,   75,     ,    6,     ,     ,     ,     ,     
  242,19971023,   18,  330,  110,  110,  160,  104,   90,   43,     ,     ,     ,     ,10160,   77,     ,   66,     ,    6,     ,     ,     ,     ,     
  242,19971023,   19,  330,  110,  110,  150,  105,     ,   57,     ,     ,     ,     ,10160,   69,     ,   72,     ,    6,     ,     ,     ,     ,     
  242,19971023,   20,  330,  110,  100,  170,  102,     ,   56,     ,     ,     ,     ,10163,   75,     ,   73,     ,    6,     ,     ,     ,     ,     
  242,19971023,   21,  350,  120,  130,  170,   87,     ,   56,     ,     ,     ,     ,10168,   61,     ,   81,     ,    6,     ,     ,     ,     ,     
  242,19971023,   22,  350,  130,  120,  170,   91,     ,   43,     ,     ,     ,     ,10175,   65,     ,   72,     ,    6,     ,     ,     ,     ,     
  242,19971023,   23,  360,  130,  130,  160,   83,     ,   25,     ,     ,     ,     ,10182,   68,     ,   67,     ,    6,     ,     ,     ,     ,     
  242,19971023,   24,  360,  110,  100,  150,   90,   74,   14,     ,     ,     ,     ,10187,   70,     ,   59,     ,    6,     ,     ,     ,     ,     
  260,19971023,    1,  990,   10,   10,   20,   21,     ,   18,    0,    0,    0,    0,10160,   80,    1,   98,     ,    2,    0,    0,    0,    0,    0
  260,19971023,    2,  220,    0,   10,   10,   12,     ,   11,    0,    0,    0,    0,10160,   80,    4,   99,     ,    2,    0,    0,    0,    0,    0
  260,19971023,    3,  990,   10,   10,   10,    6,     ,    6,    0,    0,    0,    0,10157,   75,    5,  100,     ,    2,    0,    0,    0,    0,    0
  260,19971023,    4,  240,   10,   10,   30,   15,     ,   15,    0,    0,    0,    0,10156,   75,    6,  100,     ,    2,    0,    0,    0,    0,    0
