# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  240,19950125,    1,  210,   67,   46,  103,   48,     ,   40,    0,    0,   10,    2,10003,   65,    8,   95,   61,    1,    0,    1,    0,    0,     
  240,19950125,    2,  220,   57,   62,   98,   50,     ,   42,    0,    0,    7,    1, 9992,   65,    8,   95,   21,    1,    0,    1,    0,    0,     
  240,19950125,    3,  220,   57,   51,   82,   45,     ,   36,    0,    0,    0,   -1, 9982,   65,    8,   94,   60,    1,    0,    1,    0,    0,     
  240,19950125,    4,  190,   41,   36,   62,   43,     ,   37,    0,    0,   10,    1, 9971,   56,    8,   96,   61,    1,    0,    1,    0,    0,     
  240,19950125,    5,  170,   36,   41,   51,   42,     ,   38,    0,    0,    0,   -1, 9961,   50,    8,   97,   21,    1,    0,    1,    0,    0,     
  240,19950125,    6,  160,   31,   31,   46,   43,   41,   40,    0,    0,    0,    0, 9954,   56,    8,   98,   10,    1,    0,    0,    0,    0,     
  240,19950125,    7,  190,   36,   36,   51,   42,     ,   38,    0,    0,    0,    0, 9953,   65,    8,   97,     ,    2,    0,    0,    0,    0,     
  240,19950125,    8,  190,   26,   21,   51,   41,     ,   37,    0,    0,    0,    0, 9955,   62,    8,   97,     ,    2,    0,    0,    0,    0,     
  240,19950125,    9,  170,   21,   15,   31,   43,     ,   37,    0,    3,    0,    0, 9958,   65,    8,   96,     ,    2,    0,    0,    0,    0,     
  240,19950125,   10,  990,   21,   15,   36,   45,     ,   37,    0,   14,    0,    0, 9963,   68,    8,   95,     ,    2,    0,    0,    0,    0,     
  240,19950125,   11,  230,   21,   21,   31,   48,     ,   37,    0,   29,    0,    0, 9966,   70,    7,   93,     ,    2,    0,    0,    0,    0,     
  240,19950125,   12,  990,   21,   15,   31,   52,   40,   39,    0,   43,    0,    0, 9969,   63,    8,   91,     ,    2,    0,    0,    0,    0,     
  240,19950125,   13,  210,   21,   21,   36,   57,     ,   41,    0,   55,    0,    0, 9965,   62,    8,   89,     ,    2,    0,    0,    0,    0,     
  240,19950125,   14,  180,   26,   31,   41,   56,     ,   37,    0,   33,    0,   -1, 9963,   63,    8,   88,   60,    1,    0,    1,    0,    0,     
  240,19950125,   15,  180,   31,   31,   41,   52,     ,   37,    0,    9,   10,    2, 9964,   58,    8,   90,   61,    1,    0,    1,    0,    0,     
  240,19950125,   16,  180,   31,   31,   51,   45,     ,   34,    0,    2,   10,   10, 9964,   58,    8,   93,   63,    1,    0,    1,    0,    0,     
  240,19950125,   17,  130,   36,   46,   62,   40,     ,   30,    0,    0,   10,   11, 9956,   57,    8,   93,   63,    1,    0,    1,    0,    0,     
  240,19950125,   18,  140,   41,   41,   57,   39,   38,   32,    0,    0,    6,    2, 9953,   56,    8,   95,   59,    1,    0,    1,    0,    0,     
  240,19950125,   19,  130,   41,   46,   62,   38,     ,   35,    0,    0,   10,    3, 9942,   27,    8,   98,   58,    1,    0,    1,    0,    0,     
  240,19950125,   20,  140,   57,   62,   77,   40,     ,   39,    0,    0,   10,    4, 9930,   32,    8,   99,   58,    1,    0,    1,    0,    0,     
  240,19950125,   21,  160,   57,   46,   93,   49,     ,   48,    0,    0,    7,    2, 9916,   22,    8,   99,   21,    1,    0,    1,    0,    0,     
  240,19950125,   22,  240,   67,  103,  165,  101,     ,  101,    0,    0,    0,   -1, 9904,   60,    8,  100,   21,    1,    0,    1,    0,    0,     
  240,19950125,   23,  240,  149,  144,  226,  110,     ,   94,    0,    0,    0,   -1, 9900,   62,    8,   90,   60,    1,    0,    1,    0,    0,     
  240,19950125,   24,  240,  149,  149,  211,  111,   37,   93,    0,    0,    0,   -1, 9900,   60,    8,   89,   60,    1,    0,    1,    0,    0,     
  260,19950125,    1,  210,   46,   46,  108,   52,     ,   42,    0,    0,    5,    1,10008,   60,    8,   93,   58,    1,    0,    1,    0,    0,    0
  260,19950125,    2,  210,   51,   51,  103,   48,     ,   34,    0,    0,    0,   -1, 9999,   59,    8,   91,   50,    1,    0,    1,    0,    0,    0
  260,19950125,    3,  190,   36,   31,   82,   43,     ,   35,    0,    0,   10,    2, 9987,   58,    8,   95,   61,    1,    0,    1,    0,    0,    0
