DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE.

Gehomogeniseerde reeks van maandtemperaturen van De Bilt (1901-heden)
Homogenized monthly temperature time series of De Bilt (1901-present)
version 1, February 2007 (for research purposes only)

Er zijn correcties aangebracht voor de volgende inhomogeniteiten:
1 - verplaatsing gecombineerd met veranderind van hut (september 1950) /
              relocation combined with a transition of the hut (September 1950).
2 - verplaatsing van de Stevenson hut (augustus 1951) /
              relocation of the Stevenson screen (August 1951).
3 - verlaging van de Stevenson hut van 2.2 m naar 1.5 m (juni 1961) /
              lowering of Stevenson screen from 2.2 m to 1.5 m (June 1961).
4 - overgang van de kunstmatig geventileerde Stevenson hut naar KNMI schotelhut(juni 1993) /
           transition of artificial ventilated Stevenson screen to KNMI round-plated screen  
5 - temperatuurstijging van 0.11°C per eeuw door stadswarmte /
           warming trend of 0.11°C per century caused by urban warming

STN      = station number /  (260=De Bilt) 
YYYYMMDD = datum / date (YYYY=year MM=month DD=day)
TG_hom   = Gehomogeniseerde maandtemperaturen (Celsius) / Homogenized monthly temperature (Celsius)
                                    
STN,YYYYMMDD,  TG_hom

260 19010131    -.424
260 19010228    -.761
260 19010331    3.369
260 19010430    8.782
260 19010531   12.181
260 19010630   14.363
260 19010731   18.402
260 19010831    16.36
260 19010930   14.567
260 19011031   10.451
260 19011130    5.307
260 19011231    3.057
260 19020131    4.478
260 19020228    -.237
260 19020331    5.113
260 19020430    8.234
260 19020531    9.334
260 19020630   15.446
260 19020731   15.169
260 19020831   14.488
260 19020930   13.009
260 19021031     8.74
260 19021130    3.779
260 19021231     .908
260 19030131    2.809
260 19030228    5.755
260 19030331    6.989
260 19030430     5.28
260 19030531   12.765
260 19030630   13.971
260 19030731   15.223
260 19030831   14.922
260 19030930   14.295
260 19031031   11.329
260 19031130    5.715
260 19031231     .903
260 19040131     .621
260 19040228    3.095
260 19040331    3.594
260 19040430    9.362
260 19040531   12.048
260 19040630   14.067
260 19040731   17.699
260 19040831   15.676
260 19040930    12.28
260 19041031    9.364
260 19041130    5.527
260 19041231    4.141
260 19050131    1.155
260 19050228    3.742
260 19050331    5.819
260 19050430    6.344
260 19050531   11.879
260 19050630   16.602
260 19050731   17.636
260 19050831   15.659
260 19050930   12.779
260 19051031    6.649
260 19051130    3.792
260 19051231    2.456
260 19060131    3.454
260 19060228    2.495
260 19060331    3.818
260 19060430    7.263
260 19060531   12.459
260 19060630   13.991
260 19060731   16.658
260 19060831   16.587
260 19060930   13.265
260 19061031   11.952
260 19061130    7.908
260 19061231     .278
260 19070131    1.563
260 19070228     .876
260 19070331    4.575
260 19070430    7.245
260 19070531   12.516
