hhtyp,incgrp,unit,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,TOTAL,PC_POP,TOTAL,F,AT	1.2 	1.0 	1.5 	1.3 b	1.4 	1.2 	1.3 	0.9 	0.9 	0.8 	1.0 	0.9 
TOTAL,TOTAL,PC_POP,TOTAL,F,BE	1.0 	1.0 	0.6 	0.7 	0.5 	0.2 	1.4 	2.1 	1.9 	1.9 	2.2 	1.7 
TOTAL,TOTAL,PC_POP,TOTAL,F,BG	34.9 	34.9 	33.2 	28.3 	25.6 	24.4 	24.4 	22.2 	21.3 	20.5 	18.5 	18.4 b
TOTAL,TOTAL,PC_POP,TOTAL,F,CH	: 	: 	2.0 	0.1 	0.1 	0.1 	0.1 	0.1 	0.0 n	0.2 b	0.0 n	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,CY	1.7 	1.8 	1.5 	1.3 b	1.0 	1.1 	1.2 	1.0 	1.2 	1.1 	1.0 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,CZ	1.8 	1.3 	1.1 	1.0 	0.7 	0.7 	0.7 	0.9 	0.9 	0.7 	0.5 	0.4 
TOTAL,TOTAL,PC_POP,TOTAL,F,DE	0.8 	1.4 	1.3 	1.3 	1.3 	1.7 	0.9 	1.0 	0.2 	0.0 n	0.1 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,DK	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.5 	0.4 	0.8 	0.6 	0.7 	0.7 
TOTAL,TOTAL,PC_POP,TOTAL,F,EA18	1.1 e	1.2 e	1.1 	0.9 	0.9 	0.9 	0.8 	0.8 e	0.7 	0.5 	0.5 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,EA19	1.4 e	1.5 e	1.3 	1.1 	1.1 	1.0 	0.9 	0.9 e	0.8 	0.6 	0.6 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,EE	16.5 	14.8 	14.1 	13.0 	11.8 	10.7 	9.4 	8.4 	7.9 	6.9 b	6.4 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,EL	3.4 	2.9 	3.0 	2.6 	1.8 	1.3 	1.0 	0.5 	0.6 	0.5 	0.5 	0.4 
TOTAL,TOTAL,PC_POP,TOTAL,F,ES	0.4 	0.3 	0.3 	0.0 n	0.0 	0.0 	0.0 n	0.1 	0.1 	0.1 	0.1 	0.3 
TOTAL,TOTAL,PC_POP,TOTAL,F,EU27	: 	: 	4.0 	3.6 	3.4 	3.3 	3.0 	2.8 e	2.7 	2.5 	2.3 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,EU28	: 	: 	: 	: 	: 	3.3 	3.0 	2.8 e	2.6 	2.5 	2.3 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,FI	0.7 	0.6 	0.6 	1.0 	0.7 	0.6 	0.6 	0.5 	0.4 	0.5 	0.4 	0.4 
TOTAL,TOTAL,PC_POP,TOTAL,F,FR	0.8 	0.8 	0.8 	0.6 	0.7 	0.6 	0.6 	0.5 	0.6 	0.5 	0.4 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,HR	: 	: 	: 	: 	: 	0.7 	1.7 	2.4 b	1.6 	1.8 	1.8 	1.5 p
TOTAL,TOTAL,PC_POP,TOTAL,F,HU	8.4 	5.8 	6.3 	6.6 	6.9 	6.4 	4.8 	4.8 	4.7 	4.7 	3.6 	4.0 
TOTAL,TOTAL,PC_POP,TOTAL,F,IE	0.3 	0.2 	0.6 	0.2 	0.1 	0.1 	4.1 	2.4 	2.2 	0.1 	0.1 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,IS	0.3 	0.3 	0.2 	0.2 	0.1 	0.3 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,IT	0.3 	0.3 	0.2 	0.2 	0.2 	0.2 	0.4 	0.5 	1.1 	0.7 	0.6 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,LT	24.6 	23.2 	20.1 	20.0 	17.5 	16.4 	16.4 	15.4 	13.6 	12.1 	11.4 	12.4 
TOTAL,TOTAL,PC_POP,TOTAL,F,LU	0.0 n	0.3 	0.3 	0.4 	0.6 	0.3 	0.1 	0.6 	0.1 	0.1 	0.0 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,LV	21.4 	18.5 	20.0 	16.2 	16.2 	15.6 	15.4 	15.8 	14.6 	13.9 	13.0 	12.1 
TOTAL,TOTAL,PC_POP,TOTAL,F,MK	: 	: 	: 	: 	: 	12.6 	11.0 	12.2 	10.0 	9.6 	5.8 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,MT	0.3 	0.1 	0.0 n	0.0 n	0.0 n	0.1 	0.2 	0.1 	0.2 	0.0 n	0.0 n	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,NL	: 	: 	0.1 	0.0 	0.0 n	0.0 n	0.0 n	0.0 n	0.0 	0.0 n	0.0 n	0.1 
TOTAL,TOTAL,PC_POP,TOTAL,F,NO	0.1 	0.2 	0.2 	0.1 	0.1 	0.1 	0.4 	0.0 	0.0 	0.0 	0.0 	0.0 
TOTAL,TOTAL,PC_POP,TOTAL,F,PL	7.6 	7.0 	6.0 	5.1 	4.7 	4.1 	3.8 	3.2 	3.1 	2.9 	2.6 	2.3 
TOTAL,TOTAL,PC_POP,TOTAL,F,PT	3.5 	3.7 	3.3 	2.6 	2.5 	1.7 	1.3 	0.9 	0.9 	1.0 	1.0 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,RO	: 	: 	43.8 	40.8 	41.6 	40.4 	38.2 	36.4 	35.2 	33.7 	32.4 	32.2 
TOTAL,TOTAL,PC_POP,TOTAL,F,RS	: 	: 	: 	: 	: 	: 	: 	: 	4.6 	4.1 	4.2 	4.4 
TOTAL,TOTAL,PC_POP,TOTAL,F,SE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
TOTAL,TOTAL,PC_POP,TOTAL,F,SI	1.6 	1.3 	1.0 	0.7 	0.6 	0.3 	0.4 	0.3 	0.4 	0.4 	0.3 	0.3 
TOTAL,TOTAL,PC_POP,TOTAL,F,SK	3.4 	3.4 	3.2 	0.4 b	1.0 	1.1 	1.3 	1.1 	0.7 	1.2 	1.4 	1.3 
TOTAL,TOTAL,PC_POP,TOTAL,F,TR	: 	14.2 	13.5 	13.4 	12.4 	: 	8.9 	9.2 	8.9 	7.7 	6.7 	: 
TOTAL,TOTAL,PC_POP,TOTAL,F,UK	1.0 	0.7 	0.7 	0.5 	0.5 	0.4 	0.1 	0.3 b	0.2 	0.4 	0.5 	0.3 
TOTAL,TOTAL,PC_POP,TOTAL,M,AT	1.8 	0.9 	1.6 	1.8 b	1.2 	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 	0.8 
