# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  240,20170903,    1,    0,    0,    0,   10,  104,     ,  101,    0,    0,    0,    0,10195,   65,    0,   97,     ,    5,    0,    0,    0,    0,    0
  240,20170903,    2,    0,    0,    0,   10,  102,     ,   97,    0,    0,    0,    0,10189,   65,    0,   97,     ,    5,    0,    0,    0,    0,    0
  240,20170903,    3,  120,   10,   10,   10,   96,     ,   91,    0,    0,    0,    0,10186,   65,    1,   97,     ,    5,    0,    0,    0,    0,    0
  240,20170903,    4,    0,   10,    0,   20,   93,     ,   88,    0,    0,    0,    0,10182,   65,    0,   97,     ,    5,    0,    0,    0,    0,    0
  240,20170903,    5,  340,   10,   10,   20,   91,     ,   88,    0,    0,    0,    0,10178,   65,    0,   98,     ,    5,    0,    0,    0,    0,    0
  240,20170903,    6,  100,   10,   10,   10,  102,   46,   97,    0,   12,    0,    0,10176,   65,    0,   97,     ,    5,    0,    0,    0,    0,    0
  240,20170903,    7,  150,   10,   20,   20,  133,     ,  100,   10,   62,    0,    0,10175,   59,    0,   80,   10,    7,    0,    0,    0,    0,    0
  240,20170903,    8,  130,   20,   20,   30,  157,     ,  105,   10,  117,    0,    0,10175,   75,    0,   71,     ,    5,    0,    0,    0,    0,    0
  240,20170903,    9,  140,   20,   30,   40,  167,     ,  110,   10,  171,    0,    0,10172,   80,    1,   69,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   10,  170,   30,   20,   40,  176,     ,  110,   10,  194,    0,    0,10168,   80,    5,   65,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   11,  180,   30,   40,   70,  184,     ,  110,    9,  234,    0,    0,10165,   79,    6,   61,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   12,  190,   30,   30,   70,  187,  101,  105,    8,  199,    0,    0,10160,   80,    5,   58,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   13,  180,   40,   50,   70,  198,     ,  109,    7,  200,    0,    0,10154,   79,    5,   56,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   14,  170,   40,   40,   70,  197,     ,  107,    9,  204,    0,    0,10148,   76,    7,   56,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   15,  190,   40,   30,   80,  196,     ,  107,    8,  165,    0,    0,10144,   77,    5,   56,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   16,  170,   40,   40,   60,  195,     ,  111,   10,  133,    0,    0,10140,   80,    7,   58,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   17,  190,   30,   30,   60,  181,     ,  110,    3,   51,    0,    0,10139,   80,    6,   62,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   18,  160,   20,   20,   40,  165,  137,  105,    0,   12,    0,    0,10139,   80,    7,   67,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   19,  110,   20,   20,   20,  153,     ,  111,    0,    1,    0,    0,10140,   75,    8,   76,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   20,  110,   20,   20,   30,  137,     ,  111,    0,    0,    0,    0,10141,   70,    7,   84,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   21,  100,   20,   20,   30,  125,     ,  110,    0,    0,    0,    0,10143,   70,    4,   90,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   22,    0,    0,    0,   20,  124,     ,  115,    0,    0,    0,    0,10143,   62,    7,   94,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   23,   90,   10,   20,   20,  123,     ,  112,    0,    0,    0,    0,10140,   65,    4,   93,     ,    5,    0,    0,    0,    0,    0
  240,20170903,   24,  100,   20,   20,   20,  114,   81,  104,    0,    0,    0,    0,10139,   65,    7,   94,     ,    5,    0,    0,    0,    0,    0
  260,20170903,    1,    0,    0,    0,   10,   74,     ,   71,    0,    0,    0,    0,10195,   38,    0,   98,   20,    7,    1,    0,    0,    0,    0
  260,20170903,    2,   10,    0,   10,   10,   73,     ,   71,    0,    0,    0,    0,10190,   50,    0,   99,   10,    7,    0,    0,    0,    0,    0
  260,20170903,    3,   10,    0,   10,   10,   67,     ,   64,    0,    0,    0,    0,10187,   10,    0,   98,   10,    7,    0,    0,    0,    0,    0
