# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 310:         3.596       51.442       8.00  VLISSINGEN
#
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag);
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT;
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
#
# STN,YYYYMMDD,   HH,    T
#
  240,20171001,    1,  104
  240,20171001,    2,  101
  240,20171001,    3,   95
  240,20171001,    4,  100
  240,20171001,    5,  104
  240,20171001,    6,  111
  240,20171001,    7,  116
  240,20171001,    8,  127
  240,20171001,    9,  142
  240,20171001,   10,  158
  240,20171001,   11,  166
  240,20171001,   12,  165
  240,20171001,   13,  163
  240,20171001,   14,  163
  240,20171001,   15,  162
  240,20171001,   16,  161
  240,20171001,   17,  157
  240,20171001,   18,  156
  240,20171001,   19,  156
  240,20171001,   20,  153
  240,20171001,   21,  151
  240,20171001,   22,  151
  240,20171001,   23,  144
  240,20171001,   24,  148
  260,20171001,    1,   99
  260,20171001,    2,  102
  260,20171001,    3,   97
  260,20171001,    4,   99
  260,20171001,    5,  102
  260,20171001,    6,   98
  260,20171001,    7,  115
  260,20171001,    8,  132
  260,20171001,    9,  141
  260,20171001,   10,  156
  260,20171001,   11,  168
  260,20171001,   12,  171
  260,20171001,   13,  168
  260,20171001,   14,  165
  260,20171001,   15,  163
  260,20171001,   16,  161
  260,20171001,   17,  158
  260,20171001,   18,  158
  260,20171001,   19,  158
  260,20171001,   20,  156
  260,20171001,   21,  154
  260,20171001,   22,  153
  260,20171001,   23,  150
  260,20171001,   24,  150
  285,20171001,    1,
  285,20171001,    2,
  285,20171001,    3,
  285,20171001,    4,
  285,20171001,    5,
  285,20171001,    6,
  285,20171001,    7,
  285,20171001,    8,
  285,20171001,    9,
  285,20171001,   10,
  285,20171001,   11,
  285,20171001,   12,
  285,20171001,   13,
  285,20171001,   14,
  285,20171001,   15,
  285,20171001,   16,
  285,20171001,   17,
  285,20171001,   18,
  285,20171001,   19,
  285,20171001,   20,
  285,20171001,   21,
  285,20171001,   22,
  285,20171001,   23,
  285,20171001,   24,
  310,20171001,    1,  139
  310,20171001,    2,  138
  310,20171001,    3,  139
  310,20171001,    4,  139
  310,20171001,    5,  139
  310,20171001,    6,  138
  310,20171001,    7,  137
  310,20171001,    8,  143
  310,20171001,    9,  149
  310,20171001,   10,  157
  310,20171001,   11,  162
  310,20171001,   12,  162
  310,20171001,   13,  159
  310,20171001,   14,  156
  310,20171001,   15,  157
  310,20171001,   16,  155
  310,20171001,   17,  156
  310,20171001,   18,  157
  310,20171001,   19,  159
  310,20171001,   20,  160
  310,20171001,   21,  159
  310,20171001,   22,  160
  310,20171001,   23,  160
  310,20171001,   24,  162
