# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 344:         4.447       51.962      -4.30  ROTTERDAM
#
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag);
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT;
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur;
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak;
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur;
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur);
# Q        = Globale straling (in J/cm2) per uurvak;
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak;
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm);
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming;
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km);
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar);
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming;
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland;
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen);
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
#
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
#
  242,19960503,    1,   20,   62,   57,   77,   73,     ,   72,     ,     ,     ,     , 9976,   19,     ,   99,     ,    6,     ,     ,     ,     ,
  242,19960503,    2,   10,   51,   51,   67,   73,     ,   72,     ,     ,     ,     , 9978,    9,     ,   99,     ,    6,     ,     ,     ,     ,
  242,19960503,    3,  360,   57,   57,   72,   72,     ,   71,     ,     ,     ,     , 9977,   38,     ,   99,     ,    6,     ,     ,     ,     ,
  242,19960503,    4,  360,   72,   77,   93,   71,     ,   70,     ,     ,     ,     , 9976,   46,     ,   99,     ,    6,     ,     ,     ,     ,
  242,19960503,    5,   10,   82,   77,   98,   70,     ,   69,     ,     ,     ,     , 9986,   40,    8,   99,   10,    1,     ,     ,     ,     ,
  242,19960503,    6,   10,   77,   77,   93,   70,   68,   66,     ,     ,     ,     , 9990,   58,    8,   97,   10,    1,     ,     ,     ,     ,
  242,19960503,    7,  360,   82,   82,  103,   70,     ,   64,     ,     ,     ,     , 9993,   59,    8,   96,   10,    1,     ,     ,     ,     ,
  242,19960503,    8,  360,   87,   93,  103,   72,     ,   61,     ,     ,     ,     , 9996,   59,    8,   93,   10,    1,     ,     ,     ,     ,
  242,19960503,    9,  360,   87,   77,  103,   74,     ,   62,     ,     ,     ,     ,10003,   61,    8,   92,     ,    2,     ,     ,     ,     ,
  242,19960503,   10,  360,   82,   77,   98,   74,     ,   64,     ,     ,     ,     ,10006,   60,    8,   93,     ,    2,     ,     ,     ,     ,
  242,19960503,   11,  360,   82,   82,   98,   76,     ,   64,     ,     ,     ,     ,10011,   60,    8,   92,     ,    2,     ,     ,     ,     ,
  242,19960503,   12,   10,   77,   77,   98,   77,   68,   62,     ,     ,     ,     ,10016,   60,     ,   90,     ,    6,     ,     ,     ,     ,
  242,19960503,   13,   10,   72,   77,   87,   76,     ,   61,     ,     ,     ,     ,10022,   60,     ,   90,     ,    6,     ,     ,     ,     ,
  242,19960503,   14,   10,   72,   72,   87,   74,     ,   65,     ,     ,     ,     ,10026,   63,     ,   94,     ,    6,     ,     ,     ,     ,
  242,19960503,   15,  360,   72,   77,   87,   71,     ,   64,     ,     ,     ,     ,10032,   56,     ,   95,     ,    6,     ,     ,     ,     ,
  242,19960503,   16,  350,   77,   72,   93,   70,     ,   61,     ,     ,     ,     ,10036,   57,     ,   94,     ,    6,     ,     ,     ,     ,
  242,19960503,   17,  350,   72,   72,   87,   68,     ,   57,     ,     ,     ,     ,10041,   59,     ,   93,     ,    6,     ,     ,     ,     ,
  242,19960503,   18,  340,   67,   72,   82,   68,   66,   56,     ,     ,     ,     ,10043,   59,     ,   92,     ,    6,     ,     ,     ,     ,
  242,19960503,   19,  350,   77,   77,   93,   67,     ,   53,     ,     ,     ,     ,10047,   59,     ,   91,     ,    6,     ,     ,     ,     ,
  242,19960503,   20,  350,   77,   77,   93,   68,     ,   53,     ,     ,     ,     ,10054,   59,     ,   90,     ,    6,     ,     ,     ,     ,
  242,19960503,   21,  340,   82,   82,  103,   67,     ,   47,     ,     ,     ,     ,10058,   61,     ,   87,     ,    6,     ,     ,     ,     ,
  242,19960503,   22,  350,   82,   82,  103,   65,     ,   40,     ,     ,     ,     ,10063,   62,     ,   84,     ,    6,     ,     ,     ,     ,
  242,19960503,   23,  350,   82,   82,  103,   64,     ,   37,     ,     ,     ,     ,10065,   62,     ,   83,     ,    6,     ,     ,     ,     ,
  242,19960503,   24,  350,   87,   87,  103,   62,   59,   34,     ,     ,     ,     ,10069,   63,     ,   81,     ,    6,     ,     ,     ,     ,
  260,19960503,    1,  990,   21,   15,   36,   72,     ,   58,    0,    0,    0,    0, 9978,   56,    8,   91,   10,    1,    0,    0,    0,    0,    0
  260,19960503,    2,  350,   15,   21,   36,   72,     ,   59,    0,    0,    0,    0, 9970,   50,    8,   91,   10,    1,    0,    0,    0,    0,    0
  260,19960503,    3,   10,   21,   26,   46,   72,     ,   58,    0,    0,    0,    0, 9970,   50,    8,   91,   10,    1,    0,    0,    0,    0,    0
