# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 249:         4.979       52.644      -2.40  BERKHOUT
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  249,20171001,    1,  160,   40,   40,   60,  112,     ,   99,    0,    0,    0,    0,     ,   65,     ,   91,     ,    5,    0,    0,    0,    0,    0
  249,20171001,    2,  170,   30,   30,   50,  100,     ,   93,    0,    0,    0,    0,     ,   62,     ,   95,     ,    5,    0,    0,    0,    0,    0
  249,20171001,    3,  170,   30,   30,   40,   97,     ,   93,    0,    0,    0,    0,     ,   58,     ,   96,   10,    7,    0,    0,    0,    0,    0
  249,20171001,    4,  140,   30,   20,   40,   97,     ,   94,    0,    0,    0,    0,     ,   57,     ,   97,   10,    7,    0,    0,    0,    0,    0
  249,20171001,    5,  170,   30,   30,   50,  104,     ,   99,    0,    0,    0,    0,     ,   59,     ,   96,   10,    7,    0,    0,    0,    0,    0
  249,20171001,    6,  170,   40,   40,   60,  102,   90,   94,    0,    1,    0,    0,     ,   62,     ,   94,     ,    5,    0,    0,    0,    0,    0
  249,20171001,    7,  170,   40,   40,   60,  117,     ,  104,    8,   29,    0,    0,     ,   64,     ,   91,     ,    5,    0,    0,    0,    0,    0
  249,20171001,    8,  170,   50,   50,   70,  129,     ,  109,    3,   59,    0,    0,     ,   63,     ,   87,     ,    5,    0,    0,    0,    0,    0
  249,20171001,    9,  180,   50,   50,   90,  147,     ,  118,    7,  102,    0,    0,     ,   70,     ,   82,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   10,  170,   60,   50,   90,  153,     ,  117,    3,  107,    0,    0,     ,   75,     ,   79,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   11,  180,   70,   70,  110,  166,     ,  123,    2,  123,    0,    0,     ,   72,     ,   75,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   12,  180,   80,   80,  130,  169,   97,  113,    4,  117,    0,    0,     ,   74,     ,   69,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   13,  180,   90,   90,  140,  163,     ,  108,    2,  107,    0,    0,     ,   80,     ,   69,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   14,  180,   80,   80,  130,  163,     ,  112,    0,   59,    0,    0,     ,   75,     ,   71,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   15,  180,   80,   70,  130,  161,     ,  113,    0,   46,    0,    0,     ,   75,     ,   73,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   16,  180,   80,   80,  130,  159,     ,  111,    0,   26,    0,    0,     ,   75,     ,   73,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   17,  190,   80,   80,  120,  155,     ,  114,    0,    9,    0,    0,     ,   75,     ,   76,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   18,  190,   70,   80,  120,  155,  151,  114,    0,    1,    0,    0,     ,   75,     ,   76,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   19,  180,   80,   90,  130,  154,     ,  119,    0,    0,    0,    0,     ,   75,     ,   79,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   20,  180,   80,   80,  120,  153,     ,  117,    0,    0,    0,    0,     ,   75,     ,   79,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   21,  180,   90,   90,  130,  152,     ,  120,    0,    0,    0,    0,     ,   70,     ,   81,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   22,  190,   90,   90,  140,  149,     ,  122,    0,    0,    0,    0,     ,   70,     ,   83,     ,    5,    0,    0,    0,    0,    0
  249,20171001,   23,  180,   90,   90,  150,  146,     ,  127,    0,    0,    0,   -1,     ,   70,     ,   88,   23,    7,    0,    1,    0,    0,    0
  249,20171001,   24,  180,  100,  100,  150,  144,  143,  133,    0,    0,    2,    1,     ,   60,     ,   93,   81,    7,    0,    1,    0,    0,    0
  249,20171002,    1,  190,   90,   90,  140,  148,     ,  139,    0,    0,    0,   -1,     ,   61,     ,   94,   51,    7,    0,    1,    0,    0,    0
  249,20171002,    2,  200,   80,   80,  130,  153,     ,  148,    0,    0,    7,    4,     ,   35,     ,   96,   53,    7,    0,    1,    0,    0,    0
  249,20171002,    3,  220,   80,   70,  120,  158,     ,  152,    0,    0,    9,    3,     ,   59,     ,   96,   52,    7,    0,    1,    0,    0,    0
