# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  240,20161224,    1,  230,   90,   90,  140,   82,     ,   68,    0,    0,    0,    0,10209,   62,    8,   91,     ,    5,    0,    0,    0,    0,    0
  240,20161224,    2,  240,   70,   60,  120,   81,     ,   66,    0,    0,    0,    0,10216,   61,    1,   90,     ,    5,    0,    0,    0,    0,    0
  240,20161224,    3,  250,   60,   60,   90,   80,     ,   52,    0,    0,    0,    0,10218,   64,    1,   82,     ,    5,    0,    0,    0,    0,    0
  240,20161224,    4,  250,   60,   60,   90,   79,     ,   55,    0,    0,    0,    0,10219,   63,    4,   84,     ,    5,    0,    0,    0,    0,    0
  240,20161224,    5,  250,   60,   60,   90,   78,     ,   46,    0,    0,    0,    0,10219,   63,    7,   80,     ,    5,    0,    0,    0,    0,    0
  240,20161224,    6,  260,   70,   80,  110,   80,   65,   40,    0,    0,    0,    0,10227,   64,    8,   76,     ,    5,    0,    0,    0,    0,    0
  240,20161224,    7,  260,   70,   70,  110,   78,     ,   41,    0,    0,    0,    0,10220,   63,    8,   77,     ,    5,    0,    0,    0,    0,    0
  240,20161224,    8,  250,   70,   70,  110,   75,     ,   36,    0,    0,    0,    0,10229,   63,    1,   76,     ,    5,    0,    0,    0,    0,    0
  240,20161224,    9,  250,   80,   90,  130,   81,     ,   36,    5,   13,    0,    0,10229,   63,    8,   73,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   10,  260,  100,  110,  160,   84,     ,   38,    2,   27,    0,    0,10233,   62,    8,   72,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   11,  250,  100,  100,  160,   86,     ,   40,    0,   33,    0,    0,10230,   63,    8,   72,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   12,  250,  100,  110,  150,   92,   61,   46,    3,   50,    0,    0,10228,   62,    8,   72,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   13,  250,  100,  100,  160,   89,     ,   48,    0,   26,    0,    0,10228,   62,    8,   75,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   14,  250,  100,   90,  150,   90,     ,   48,    0,   15,    0,    0,10229,   62,    8,   75,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   15,  250,  100,  100,  140,   88,     ,   50,    0,    8,    0,    0,10229,   61,    8,   77,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   16,  250,  100,  100,  140,   89,     ,   52,    0,    1,    0,    0,10229,   60,    8,   77,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   17,  260,  100,  100,  150,   90,     ,   54,    0,    0,    0,    0,10229,   60,    8,   78,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   18,  260,  110,  130,  180,   91,   80,   54,    0,    0,    0,    0,10227,   61,    8,   77,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   19,  260,  120,  120,  180,   93,     ,   56,    0,    0,    0,    0,10229,   61,    8,   77,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   20,  250,  120,  120,  160,   96,     ,   57,    0,    0,    0,    0,10231,   61,    8,   76,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   21,  250,  110,  120,  160,   99,     ,   58,    0,    0,    0,    0,10229,   62,    8,   76,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   22,  250,  110,  120,  170,   96,     ,   63,    0,    0,    0,    0,10231,   62,    8,   79,     ,    5,    0,    0,    0,    0,    0
  240,20161224,   23,  240,   90,   80,  150,   89,     ,   70,    0,    0,    8,    3,10232,   59,    8,   87,   81,    7,    0,    1,    0,    0,    0
  240,20161224,   24,  240,   80,   90,  120,   88,   82,   70,    0,    0,    8,    2,10231,   58,    8,   88,   23,    7,    0,    1,    0,    0,    0
  260,20161224,    1,  240,   70,   70,  150,   77,     ,   64,    0,    0,    0,   -1,10215,   62,    8,   91,   22,    7,    0,    1,    0,    0,    0
  260,20161224,    2,  240,   50,   50,  120,   74,     ,   63,    0,    0,    0,    0,10219,   63,    8,   92,     ,    5,    0,    0,    0,    0,    0
  260,20161224,    3,  240,   40,   40,   90,   68,     ,   60,    0,    0,    0,    0,10225,   61,    8,   94,    2,    7,    0,    0,    0,    0,    0
