# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  240,20170816,    1,    0,    0,    0,   10,  139,     ,  139,    0,    0,    0,    0,10189,    1,    0,   99,   34,    7,    1,    0,    0,    0,    0
  240,20170816,    2,  130,   10,   10,   10,  136,     ,  133,    0,    0,    0,   -1,10193,   23,    0,   98,   22,    7,    1,    1,    0,    0,    0
  240,20170816,    3,  170,   20,   20,   30,  124,     ,  122,    0,    0,    0,    0,10194,   11,    0,   98,   10,    7,    0,    0,    0,    0,    0
  240,20170816,    4,  190,   10,   10,   20,  124,     ,  124,    0,    0,    0,    0,10199,    0,    3,   99,   34,    7,    1,    0,    0,    0,    0
  240,20170816,    5,  130,   10,   20,   20,  134,     ,  133,    0,    2,    0,    0,10203,    0,    9,   99,   34,    7,    1,    0,    0,    0,    0
  240,20170816,    6,  140,   20,   20,   30,  140,   85,  139,    0,   21,    0,    0,10206,    1,    9,   99,   32,    7,    1,    0,    0,    0,    0
  240,20170816,    7,  140,   20,   20,   40,  151,     ,  151,    0,   41,    0,    0,10210,    0,    9,   99,   34,    7,    1,    0,    0,    0,    0
  240,20170816,    8,  160,   30,   30,   40,  159,     ,  156,    2,   95,    0,    0,10213,   19,    8,   98,   20,    7,    1,    0,    0,    0,    0
  240,20170816,    9,  150,   30,   30,   40,  189,     ,  169,    6,  160,    0,    0,10213,   57,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20170816,   10,  160,   40,   40,   60,  210,     ,  160,    5,  183,    0,    0,10211,   67,    8,   73,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   11,  170,   50,   50,   70,  211,     ,  143,    5,  198,    0,    0,10210,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   12,  180,   50,   50,   80,  217,  145,  143,    5,  216,    0,    0,10207,   81,    8,   62,    2,    7,    0,    0,    0,    0,    0
  240,20170816,   13,  170,   50,   50,   70,  218,     ,  132,    4,  195,    0,    0,10203,   81,    8,   58,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   14,  180,   50,   60,   80,  220,     ,  130,    2,  164,    0,    0,10199,   81,    6,   56,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   15,  190,   50,   60,   70,  221,     ,  106,    2,  135,    0,    0,10198,   82,    8,   48,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   16,  220,   50,   40,   70,  221,     ,  134,    4,  114,    0,    0,10195,   82,    8,   57,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   17,  230,   30,   30,   60,  214,     ,  137,    7,   92,    0,    0,10195,   81,    8,   61,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   18,  280,   40,   40,   60,  195,  192,  157,    7,   37,    0,    0,10194,   73,    8,   78,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   19,  310,   20,   20,   50,  180,     ,  146,    5,   13,    0,    0,10194,   75,    4,   80,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   20,  990,   20,   10,   30,  172,     ,  145,    0,    0,    0,    0,10194,   70,    2,   84,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   21,  120,   10,   10,   20,  160,     ,  144,    0,    0,    0,    0,10189,   70,    5,   90,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   22,  130,   10,   20,   20,  151,     ,  141,    0,    0,    0,    0,10185,   65,    8,   93,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   23,  160,   10,   10,   20,  144,     ,  138,    0,    0,    0,    0,10180,   65,    5,   96,     ,    5,    0,    0,    0,    0,    0
  240,20170816,   24,  130,   20,   40,   40,  151,  101,  138,    0,    0,    0,    0,10174,   60,    8,   92,     ,    5,    0,    0,    0,    0,    0
  260,20170816,    1,  330,   10,   10,   30,  132,     ,  130,    0,    0,    0,    0,10191,    1,    0,   98,   34,    7,    1,    0,    0,    0,    0
  260,20170816,    2,  110,   10,   10,   20,  123,     ,  123,    0,    0,    0,    0,10195,    0,    9,  100,   34,    7,    1,    0,    0,    0,    0
  260,20170816,    3,  160,   10,   10,   20,  137,     ,  137,    0,    0,    0,    0,10198,    0,    9,  100,   34,    7,    1,    0,    0,    0,    0
