# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (K# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 242:         4.921       53.241      10.80  VLIELAND
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
#
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag);
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT;
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur;
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak;
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur;
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur);
# Q        = Globale straling (in J/cm2) per uurvak;
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak;
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm);
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming;
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km);
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar);
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming;
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland;
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen);
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
#
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
#
  242,20171001,    1,  180,   70,   80,   90,  111,     ,   97,     ,     ,     ,     ,10170,     ,     ,   91,     ,    6,     ,     ,     ,     ,
  242,20171001,    2,  170,   80,   80,  100,  113,     ,   97,     ,     ,     ,     ,10168,     ,     ,   90,     ,    6,     ,     ,     ,     ,
  242,20171001,    3,  180,   80,   80,  110,  120,     ,  104,     ,     ,     ,     ,10171,     ,     ,   90,     ,    6,     ,     ,     ,     ,
  242,20171001,    4,  180,   80,   80,  100,  121,     ,  105,     ,     ,     ,     ,10169,     ,     ,   90,     ,    6,     ,     ,     ,     ,
  242,20171001,    5,  180,   90,   90,  110,  120,     ,  107,     ,     ,     ,     ,10168,     ,     ,   92,     ,    6,     ,     ,     ,     ,
  242,20171001,    6,  180,   90,   90,  110,  118,  100,  100,     ,     ,     ,     ,10170,     ,     ,   89,     ,    6,     ,     ,     ,     ,
  242,20171001,    7,  170,   90,   80,  110,  124,     ,  105,     ,     ,     ,     ,10167,     ,     ,   88,     ,    6,     ,     ,     ,     ,
  242,20171001,    8,  170,   90,   90,  110,  130,     ,  107,     ,     ,     ,     ,10168,     ,     ,   86,     ,    6,     ,     ,     ,     ,
  242,20171001,    9,  170,   90,  100,  120,  140,     ,  115,     ,     ,     ,     ,10166,     ,     ,   85,     ,    6,     ,     ,     ,     ,
  242,20171001,   10,  180,  110,  110,  130,  149,     ,  115,     ,     ,     ,     ,10164,     ,     ,   80,     ,    6,     ,     ,     ,     ,
  242,20171001,   11,  180,  110,  110,  130,  160,     ,  115,     ,     ,     ,     ,10160,     ,     ,   75,     ,    6,     ,     ,     ,     ,
  242,20171001,   12,  180,  110,  110,  140,  158,  115,  114,     ,     ,     ,     ,10156,     ,     ,   75,     ,    6,     ,     ,     ,     ,
  242,20171001,   13,  180,  110,  120,  150,  158,     ,  114,     ,     ,     ,     ,10152,     ,     ,   75,     ,    6,     ,     ,     ,     ,
  242,20171001,   14,  190,  120,  120,  150,  159,     ,  117,     ,     ,     ,     ,10151,     ,     ,   76,     ,    6,     ,     ,     ,     ,
  242,20171001,   15,  180,  120,  110,  140,  159,     ,  115,     ,     ,     ,     ,10143,     ,     ,   75,     ,    6,     ,     ,     ,     ,
  242,20171001,   16,  180,  120,  120,  160,  158,     ,  114,     ,     ,     ,     ,10135,     ,     ,   75,     ,    6,     ,     ,     ,     ,
  242,20171001,   17,  180,  120,  120,  160,  155,     ,  117,     ,     ,     ,     ,10135,     ,     ,   78,     ,    6,     ,     ,     ,     ,
  242,20171001,   18,  180,  120,  130,  170,  152,  150,  118,     ,     ,     ,     ,10134,     ,     ,   80,     ,    6,     ,     ,     ,     ,
  242,20171001,   19,  180,  130,  140,  180,  151,     ,  119,     ,     ,     ,     ,10126,     ,     ,   81,     ,    6,     ,     ,     ,     ,
  242,20171001,   20,  180,  140,  140,  190,  151,     ,  120,     ,     ,     ,     ,10119,     ,     ,   82,     ,    6,     ,     ,     ,     ,
  242,20171001,   21,  190,  150,  150,  200,  151,     ,  122,     ,     ,     ,     ,10112,     ,     ,   83,     ,    6,     ,     ,     ,     ,
  242,20171001,   22,  190,  150,  150,  190,  149,     ,  129,     ,     ,     ,     ,10102,     ,     ,   88,     ,    6,     ,     ,     ,     ,
  242,20171001,   23,  180,  150,  160,  200,  149,     ,  133,     ,     ,     ,     ,10090,     ,     ,   90,     ,    6,     ,     ,     ,     ,
  242,20171001,   24,  180,  160,  160,  200,  148,  145,  135,     ,     ,     ,     ,10080,     ,     ,   92,     ,    6,     ,     ,     ,     ,
  242,20171002,    1,  190,  150,  160,  200,  149,     ,  141,     ,     ,     ,     ,10075,     ,     ,   95,     ,    6,     ,     ,     ,     ,
  242,20171002,    2,  210,  140,  130,  200,  158,     ,  150,     ,     ,     ,     ,10073,     ,     ,   95,     ,    6,     ,     ,     ,     ,
  242,20171002,    3,  220,  120,  120,  160,  161,     ,  150,     ,     ,     ,     ,10068,     ,     ,   93,     ,    6,     ,     ,     ,     ,
  242,20171002,    4,  260,  110,  110,  150,  161,     ,  146,     ,     ,     ,     ,10064,     ,     ,   91,     ,    6,     ,     ,     ,     ,
  242,20171002,    5,  260,  110,  100,  140,  155,     ,  139,     ,     ,     ,     ,10064,     ,     ,   90,     ,    6,     ,     ,     ,     ,
  242,20171002,    6,  260,  100,  100,  130,  154,  145,  125,     ,     ,     ,     ,10065,     ,     ,   83,     ,    6,     ,     ,     ,     ,
  242,20171002,    7,  250,  100,  110,  140,  153,     ,  119,     ,     ,     ,     ,10068,     ,     ,   80,     ,    6,     ,     ,     ,     ,
  242,20171002,    8,  260,  110,  120,  160,  157,     ,  110,     ,     ,     ,     ,10070,   63,     ,   73,     ,    5,     ,     ,     ,     ,
  242,20171002,    9,  260,  120,  130,  170,  157,     ,  115,     ,     ,     ,     ,10075,   62,    8,   76,     ,    5,    0,    0,    0,    0,    0
  242,20171002,   10,  260,  130,  130,  160,  158,     ,  112,     ,     ,     ,     ,10078,   62,    8,   74,     ,    5,    0,    0,    0,    0,    0
  242,20171002,   11,  260,  130,  130,  160,  162,     ,  104,     ,     ,     ,     ,10082,   65,    8,   68,     ,    5,    0,    0,    0,    0,    0
  242,20171002,   12,  260,  140,  130,  170,  161,  150,  106,     ,     ,     ,     ,10084,   62,    8,   70,     ,    5,    0,    0,    0,    0,    0
  242,20171002,   13,  260,  140,  140,  170,  155,     ,  100,     ,     ,     ,     ,10079,   64,    8,   69,     ,    5,    0,    0,    0,    0,    0
  242,20171002,   14,  260,  140,  140,  170,  156,     ,  102,     ,     ,     ,     ,10081,   64,    8,   70,   23,    7,    0,    1,    0,    0,    0
  242,20171002,   15,  260,  140,  130,  180,  156,     ,   99,     ,     ,     ,     ,10083,   65,    8,   68,    2,    7,    0,    0,    0,    0,    0
  242,20171002,   16,  270,  140,  150,  180,  156,     ,  101,     ,     ,     ,     ,10085,   65,    8,   69,   23,    7,    0,    1,    0,    0,    0
  242,20171002,   17,  260,  140,  150,  180,  155,     ,   98,     ,     ,     ,     ,10085,   65,    8,   69,   23,    7,    0,    1,    0,    0,    0
  242,20171002,   18,  270,  150,  150,  190,  152,  141,  102,     ,     ,     ,     ,10083,   62,    8,   71,   81,    7,    0,    1,    0,    0,    0
  242,20171002,   19,  270,  150,  150,  180,  151,     ,  101,     ,     ,     ,     ,10082,   64,    7,   72,   23,    7,    0,    1,    0,    0,    0
  242,20171002,   20,  270,  140,  150,  180,  149,     ,   92,     ,     ,     ,     ,10085,   64,    8,   68,     ,    5,    0,    0,    0,    0,    0
  242,20171002,   21,  270,  150,  140,  180,  151,     ,   95,     ,     ,     ,     ,10088,   63,    8,   69,    2,    7,    0,    0,    0,    0,    0
  242,20171002,   22,  280,  140,  140,  170,  149,     ,   95,     ,     ,     ,     ,10089,   63,    7,   70,     ,    5,    0,    0,    0,    0,    0
