# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  240,20171007,    1,  250,   50,   50,   60,  116,     ,   68,    0,    0,    0,    0,10217,   82,    8,   72,     ,    5,    0,    0,    0,    0,    0
  240,20171007,    2,  230,   40,   40,   80,  108,     ,   75,    0,    0,    0,    0,10208,   83,    8,   80,     ,    5,    0,    0,    0,    0,    0
  240,20171007,    3,  200,   40,   40,   60,  103,     ,   82,    0,    0,    0,    0,10201,   82,    8,   87,     ,    5,    0,    0,    0,    0,    0
  240,20171007,    4,  210,   40,   30,   60,  107,     ,   84,    0,    0,    0,    0,10193,   81,    8,   86,     ,    5,    0,    0,    0,    0,    0
  240,20171007,    5,  200,   40,   40,   80,  106,     ,   88,    0,    0,    0,   -1,10185,   80,    8,   89,   51,    7,    0,    1,    0,    0,    0
  240,20171007,    6,  210,   50,   50,   70,  116,   98,   91,    0,    0,    0,   -1,10176,   72,    8,   85,   22,    7,    0,    1,    0,    0,    0
  240,20171007,    7,  230,   60,   80,  120,  130,     ,   80,    0,    4,    0,   -1,10164,   79,    8,   72,   23,    7,    0,    1,    0,    0,    0
  240,20171007,    8,  230,  100,  100,  160,  116,     ,  106,    0,    9,    4,    4,10160,   24,    8,   94,   53,    7,    0,    1,    0,    0,    0
  240,20171007,    9,  230,   90,  100,  130,  119,     ,  109,    0,   15,   10,   18,10153,   27,    8,   94,   53,    7,    0,    1,    0,    0,    0
  240,20171007,   10,  230,   90,   90,  130,  124,     ,  116,    0,   18,    4,    7,10143,   22,    8,   95,   58,    7,    0,    1,    0,    0,    0
  240,20171007,   11,  240,   90,   90,  130,  135,     ,  129,    0,   21,    8,   10,10138,   31,    8,   96,   52,    7,    0,    1,    0,    0,    0
  240,20171007,   12,  250,   90,   90,  150,  139,  107,  129,    0,   18,    3,    1,10129,   30,    8,   94,   58,    7,    0,    1,    0,    0,    0
  240,20171007,   13,  250,   80,   90,  120,  148,     ,  127,    0,   24,    0,   -1,10120,   67,    8,   87,   23,    7,    0,    1,    0,    0,    0
  240,20171007,   14,  250,   90,   80,  130,  145,     ,  132,    0,   21,    2,    2,10115,   57,    8,   92,   81,    7,    0,    1,    0,    0,    0
  240,20171007,   15,  260,   90,   90,  130,  149,     ,  129,    0,   16,    2,    5,10109,   72,    8,   88,   23,    7,    0,    1,    0,    0,    0
  240,20171007,   16,  260,   80,   70,  110,  144,     ,  132,    0,   10,    3,    9,10105,   58,    8,   92,   82,    7,    0,    1,    0,    0,    0
  240,20171007,   17,  260,   80,   60,  120,  132,     ,  121,    0,    3,    6,    9,10103,   80,    8,   93,   61,    7,    0,    1,    0,    0,    0
  240,20171007,   18,  300,   60,   60,  100,  132,  128,  121,    0,    0,    8,   11,10106,   61,    8,   93,   62,    7,    0,    1,    0,    0,    0
  240,20171007,   19,  290,   60,   50,  100,  134,     ,  124,    0,    0,   10,   15,10105,   60,    8,   94,   62,    7,    0,    1,    0,    0,    0
  240,20171007,   20,  290,   70,   60,  100,  133,     ,  123,    0,    0,    6,   10,10109,   64,    8,   94,   51,    7,    0,    1,    0,    0,    0
  240,20171007,   21,  290,   50,   30,   90,  125,     ,  116,    0,    0,    3,   10,10110,   76,    8,   94,   23,    7,    0,    1,    0,    0,    0
  240,20171007,   22,  300,   40,   40,   70,  124,     ,  110,    0,    0,    0,    0,10115,   74,    3,   91,    1,    7,    0,    0,    0,    0,    0
  240,20171007,   23,  290,   40,   50,   70,  129,     ,  113,    0,    0,    0,   -1,10118,   77,    7,   90,   81,    7,    0,    1,    0,    0,    0
  240,20171007,   24,  290,   40,   40,   70,  124,  112,  109,    0,    0,    1,    2,10121,   73,    3,   91,   23,    7,    0,    1,    0,    0,    0
  260,20171007,    1,  240,   30,   30,   60,  111,     ,   65,    0,    0,    0,    0,10223,   82,    8,   73,     ,    5,    0,    0,    0,    0,    0
  260,20171007,    2,  230,   30,   30,   50,  108,     ,   63,    0,    0,    0,    0,10213,   82,    8,   74,     ,    5,    0,    0,    0,    0,    0
  260,20171007,    3,  210,   30,   30,   60,  108,     ,   70,    0,    0,    0,    0,10207,   82,    8,   77,     ,    5,    0,    0,    0,    0,    0
