# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 235:         4.781       52.928       1.20  DE KOOY
# 260:         5.180       52.100       1.90  DE BILT
# 279:         6.574       52.750      15.80  HOOGEVEEN
# 285:         6.399       53.575       0.00  HUIBERTGAT
#
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag);
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT;
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur;
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak;
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur;
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur);
# Q        = Globale straling (in J/cm2) per uurvak;
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak;
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm);
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming;
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km);
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar);
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming;
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland;
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen);
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
#
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
#
  235,20171003,    1,  290,   90,   90,  150,  142,     ,   98,    0,    0,    0,   -1,10104,   66,    7,   74,   81,    7,    0,    1,    0,    0,    0
  235,20171003,    2,  290,   80,   80,  130,  140,     ,   92,    0,    0,    1,    1,10107,   72,    6,   72,   23,    7,    0,    1,    0,    0,    0
  235,20171003,    3,  290,   80,   80,  140,  142,     ,   96,    0,    0,    0,    0,10109,   69,    7,   73,    3,    7,    0,    0,    0,    0,    0
  235,20171003,    4,  290,   70,   80,  130,  140,     ,   86,    0,    0,    0,    0,10114,   75,    7,   70,     ,    5,    0,    0,    0,    0,    0
  235,20171003,    5,  290,   70,   80,  140,  129,     ,   87,    0,    0,    0,   -1,10120,   65,    7,   75,   81,    7,    0,    1,    0,    0,    0
  235,20171003,    6,  290,   70,   80,  140,  132,  120,   80,    0,    1,    1,    1,10127,   75,    3,   70,   23,    7,    0,    1,    0,    0,    0
  235,20171003,    7,  290,   70,   70,  130,  137,     ,   81,    2,   18,    0,    0,10137,   76,    8,   69,     ,    5,    0,    0,    0,    0,    0
  235,20171003,    8,  290,   70,   80,  120,  146,     ,   73,    3,   45,    0,    0,10145,   80,    0,   61,     ,    5,    0,    0,    0,    0,    0
  235,20171003,    9,  310,   70,   60,  120,  128,     ,  103,    7,   90,    2,    5,10157,   60,    7,   84,   81,    7,    0,    1,    0,    0,    0
  235,20171003,   10,  290,   70,   80,  120,  154,     ,  105,    9,  127,    0,   -1,10167,   67,    6,   72,   23,    7,    0,    1,    0,    0,    0
  235,20171003,   11,  290,   80,   80,  120,  155,     ,  100,    9,  141,    0,    0,10176,   67,    4,   69,     ,    5,    0,    0,    0,    0,    0
  235,20171003,   12,  290,   90,   90,  130,  155,  123,   96,   10,  193,    0,    0,10183,   69,    1,   67,    1,    7,    0,    0,    0,    0,    0
  235,20171003,   13,  290,   80,   70,  120,  156,     ,   94,   10,  172,    0,    0,10186,   71,    4,   66,     ,    5,    0,    0,    0,    0,    0
  235,20171003,   14,  290,   80,   80,  120,  154,     ,   94,   10,  154,    0,    0,10194,   69,    3,   67,     ,    5,    0,    0,    0,    0,    0
  235,20171003,   15,  280,   80,   80,  120,  146,     ,   86,   10,  119,    0,    0,10199,   74,    2,   67,     ,    5,    0,    0,    0,    0,    0
  235,20171003,   16,  280,   70,   70,  110,  140,     ,   91,    0,   32,    0,   -1,10202,   72,    7,   72,   81,    7,    0,    1,    0,    0,    0
  235,20171003,   17,  280,   70,   70,  120,  138,     ,   85,    0,    9,    0,   -1,10207,   75,    8,   70,   23,    7,    0,    1,    0,    0,    0
  235,20171003,   18,  280,   70,   70,  110,  139,  128,   79,    0,    0,    0,    0,10209,   80,    8,   67,    2,    7,    0,    0,    0,    0,    0
  235,20171003,   19,  280,   70,   60,  100,  138,     ,   71,    0,    0,    0,    0,10212,   81,    8,   63,     ,    5,    0,    0,    0,    0,    0
  235,20171003,   20,  270,   70,   70,  100,  141,     ,   78,    0,    0,    0,    0,10209,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  235,20171003,   21,  280,   70,   60,  110,  140,     ,   61,    0,    0,    0,   -1,10207,   80,    8,   58,   23,    7,    0,    1,    0,    0,    0
  235,20171003,   22,  270,   70,   70,  110,  141,     ,   76,    0,    0,    0,    0,10208,   80,    8,   64,     ,    5,    0,    0,    0,    0,    0
  235,20171003,   23,  260,   80,   90,  130,  132,     ,   93,    0,    0,    2,    1,10209,   63,    8,   77,   81,    7,    0,    1,    0,    0,    0
  235,20171003,   24,  270,   90,  100,  130,  135,  124,   79,    0,    0,    0,   -1,10204,   80,    8,   68,   23,    7,    0,    1,    0,    0,    0
  260,20171003,    1,  270,   30,   30,   60,  137,     ,   94,    0,    0,    0,    0,10121,   75,    8,   75,     ,    5,    0,    0,    0,    0,    0
  260,20171003,    2,  270,   30,   30,   70,  135,     ,   96,    0,    0,    0,    0,10122,   75,    8,   77,     ,    5,    0,    0,    0,    0,    0
  260,20171003,    3,  270,   30,   30,   60,  130,     ,   96,    0,    0,    0,   -1,10125,   74,    6,   79,   81,    7,    0,    1,    0,    0,    0
