# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  240,20170325,    1,   50,   50,   50,   80,   59,     ,   18,    0,    0,    0,    0,10334,   75,    8,   74,     ,    5,    0,    0,    0,    0,    0
  240,20170325,    2,   50,   40,   40,   70,   54,     ,   13,    0,    0,    0,    0,10329,   75,    8,   75,     ,    5,    0,    0,    0,    0,    0
  240,20170325,    3,   50,   40,   50,   70,   54,     ,   14,    0,    0,    0,    0,10327,   71,    8,   75,     ,    5,    0,    0,    0,    0,    0
  240,20170325,    4,   60,   40,   40,   70,   45,     ,   10,    0,    0,    0,    0,10324,   71,    8,   78,     ,    5,    0,    0,    0,    0,    0
  240,20170325,    5,   60,   40,   40,   60,   43,     ,    3,    0,    0,    0,    0,10324,   73,    6,   75,     ,    5,    0,    0,    0,    0,    0
  240,20170325,    6,   50,   40,   40,   60,   47,   19,    9,    0,    2,    0,    0,10324,   73,    2,   76,     ,    5,    0,    0,    0,    0,    0
  240,20170325,    7,   50,   40,   40,   60,   66,     ,   13,    7,   33,    0,    0,10325,   78,    2,   68,     ,    5,    0,    0,    0,    0,    0
  240,20170325,    8,   50,   50,   50,   70,   88,     ,   10,   10,   92,    0,    0,10327,   81,    2,   57,     ,    5,    0,    0,    0,    0,    0
  240,20170325,    9,   60,   50,   50,   80,  101,     ,    5,   10,  148,    0,    0,10326,   80,    6,   51,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   10,   50,   50,   50,   80,  108,     ,    6,   10,  195,    0,    0,10323,   80,    6,   49,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   11,   60,   60,   70,   90,  119,     ,   -6,    7,  198,    0,    0,10315,   75,    7,   41,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   12,   40,   70,   70,  100,  126,   31,  -72,    9,  217,    0,    0,10308,   81,    4,   24,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   13,   60,   70,   80,  100,  129,     ,  -41,   10,  232,    0,    0,10300,   82,    2,   30,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   14,   50,   70,   70,  110,  130,     ,  -30,   10,  210,    0,    0,10292,   82,    0,   32,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   15,   30,   70,   70,  110,  129,     ,  -15,   10,  172,    0,    0,10284,   81,    0,   36,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   16,   40,   70,   80,  110,  123,     ,  -12,   10,  121,    0,    0,10275,   80,    0,   39,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   17,   40,   70,   70,  110,  113,     ,  -18,   10,   67,    0,    0,10269,   83,    2,   40,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   18,   40,   70,   60,  120,   99,   89,   -9,    5,   19,    0,    0,10272,   83,    8,   46,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   19,   40,   70,   60,  110,   86,     ,   -3,    0,    0,    0,    0,10275,   83,    1,   53,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   20,   40,   60,   50,   90,   80,     ,    3,    0,    0,    0,    0,10278,   83,    2,   58,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   21,   50,   60,   50,  100,   75,     ,   13,    0,    0,    0,    0,10277,   83,    8,   64,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   22,   50,   60,   60,   90,   76,     ,   17,    0,    0,    0,    0,10277,   80,    8,   66,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   23,   50,   60,   50,  110,   70,     ,   34,    0,    0,    0,    0,10274,   75,    1,   77,     ,    5,    0,    0,    0,    0,    0
  240,20170325,   24,   50,   50,   40,   80,   65,   52,   38,    0,    0,    0,    0,10268,   70,    0,   83,     ,    5,    0,    0,    0,    0,    0
  260,20170325,    1,   50,   40,   40,   60,   52,     ,   12,    0,    0,    0,    0,10329,   71,    8,   75,     ,    5,    0,    0,    0,    0,    0
  260,20170325,    2,   50,   40,   40,   70,   44,     ,   -1,    0,    0,    0,    0,10325,   75,    8,   72,     ,    5,    0,    0,    0,    0,    0
  260,20170325,    3,   40,   30,   30,   60,   37,     ,   -7,    0,    0,    0,    0,10322,   75,    8,   73,     ,    5,    0,    0,    0,    0,    0
