# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 242:         4.921       53.241      10.80  VLIELAND
# 260:         5.180       52.100       1.90  DE BILT
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  240,20161210,    1,  200,   50,   50,   70,   66,     ,   57,    0,    0,    0,    0,10231,   56,    8,   93,   10,    7,    0,    0,    0,    0,    0
  240,20161210,    2,  200,   50,   50,   70,   64,     ,   55,    0,    0,    0,    0,10228,   57,    8,   93,   10,    7,    0,    0,    0,    0,    0
  240,20161210,    3,  200,   50,   50,   70,   62,     ,   50,    0,    0,    0,    0,10225,   58,    8,   91,   10,    7,    0,    0,    0,    0,    0
  240,20161210,    4,  210,   50,   50,   70,   66,     ,   52,    0,    0,    0,    0,10219,   59,    8,   90,   10,    7,    0,    0,    0,    0,    0
  240,20161210,    5,  210,   40,   30,   70,   68,     ,   53,    0,    0,    0,    0,10217,   59,    8,   90,   10,    7,    0,    0,    0,    0,    0
  240,20161210,    6,  200,   30,   30,   50,   65,   49,   53,    0,    0,    0,    0,10217,   58,    8,   92,   10,    7,    0,    0,    0,    0,    0
  240,20161210,    7,  210,   40,   40,   70,   72,     ,   59,    0,    0,    0,    0,10219,   58,    8,   91,   10,    7,    0,    0,    0,    0,    0
  240,20161210,    8,  210,   50,   50,   70,   75,     ,   61,    0,    0,    0,    0,10221,   58,    8,   90,   10,    7,    0,    0,    0,    0,    0
  240,20161210,    9,  210,   50,   50,   70,   78,     ,   66,    0,    3,    0,    0,10222,   50,    8,   91,   10,    7,    0,    0,    0,    0,    0
  240,20161210,   10,  220,   50,   40,   70,   83,     ,   74,    0,    5,    0,    0,10226,   37,    8,   93,   10,    7,    0,    0,    0,    0,    0
  240,20161210,   11,  210,   40,   40,   60,   85,     ,   78,    0,    7,    0,    0,10225,   31,    8,   95,   10,    7,    0,    0,    0,    0,    0
  240,20161210,   12,  200,   40,   40,   60,   86,   56,   82,    0,    8,    0,    0,10223,   12,    8,   97,   10,    7,    0,    0,    0,    0,    0
  240,20161210,   13,  210,   40,   40,   60,   87,     ,   85,    0,    5,    0,   -1,10217,    5,    8,   98,   57,    7,    1,    1,    0,    0,    0
  240,20161210,   14,  210,   40,   50,   60,   89,     ,   87,    0,    6,    7,    1,10212,   12,    8,   98,   23,    7,    1,    1,    0,    0,    0
  240,20161210,   15,  210,   40,   40,   60,   89,     ,   87,    0,    3,    0,    0,10211,   22,    8,   98,   10,    7,    0,    0,    0,    0,    0
  240,20161210,   16,  190,   30,   30,   50,   88,     ,   85,    0,    0,    7,    2,10209,   14,    8,   98,   53,    7,    0,    1,    0,    0,    0
  240,20161210,   17,  190,   40,   40,   60,   85,     ,   83,    0,    0,   10,    8,10204,   12,    8,   98,   53,    7,    0,    1,    0,    0,    0
  240,20161210,   18,  200,   40,   40,   60,   85,   84,   83,    0,    0,   10,    4,10198,   10,    8,   98,   53,    7,    0,    1,    0,    0,    0
  240,20161210,   19,  190,   40,   40,   60,   84,     ,   82,    0,    0,   10,    9,10190,   17,    8,   98,   58,    7,    0,    1,    0,    0,    0
  240,20161210,   20,  200,   50,   50,   70,   86,     ,   84,    0,    0,    9,    7,10180,   11,    8,   98,   52,    7,    0,    1,    0,    0,    0
  240,20161210,   21,  200,   60,   60,   80,   91,     ,   87,    0,    0,    4,    1,10169,   25,    8,   97,   51,    7,    1,    1,    0,    0,    0
  240,20161210,   22,  210,   70,   80,  100,   96,     ,   86,    0,    0,    4,    2,10156,   49,    8,   93,   81,    7,    0,    1,    0,    0,    0
  240,20161210,   23,  210,   80,   80,  110,   94,     ,   87,    0,    0,   10,   20,10145,   37,    8,   95,   62,    7,    0,    1,    0,    0,    0
  240,20161210,   24,  220,   90,   90,  140,   95,   83,   85,    0,    0,   10,   23,10133,   56,    8,   93,   62,    7,    0,    1,    0,    0,    0
  242,20161210,    1,  220,  120,  120,  140,   98,     ,   87,     ,     ,     ,     ,10205,   56,    8,   92,   10,    7,    0,    0,    0,    0,    0
  242,20161210,    2,  230,  120,  110,  140,   91,     ,   84,     ,     ,     ,     ,10206,   43,    8,   95,   10,    7,    0,    0,    0,    0,    0
  242,20161210,    3,  230,  100,  100,  130,   95,     ,   86,     ,     ,     ,     ,10204,   50,    8,   94,   10,    7,    0,    0,    0,    0,    0
