# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  240,20171001,    1,  140,   30,   30,   40,  104,     ,   98,    0,    0,    0,    0,10178,   60,    7,   95,     ,    5,    0,    0,    0,    0,    0
  240,20171001,    2,  150,   30,   30,   40,  101,     ,   96,    0,    0,    0,    0,10177,   58,    0,   96,   10,    7,    0,    0,    0,    0,    0
  240,20171001,    3,  150,   30,   30,   40,   95,     ,   91,    0,    0,    0,    0,10180,   58,    6,   96,   10,    7,    0,    0,    0,    0,    0
  240,20171001,    4,  160,   20,   20,   40,  100,     ,   95,    0,    0,    0,    0,10178,   59,    8,   96,   10,    7,    0,    0,    0,    0,    0
  240,20171001,    5,  160,   30,   30,   50,  104,     ,   93,    0,    0,    0,    0,10176,   65,    4,   92,     ,    5,    0,    0,    0,    0,    0
  240,20171001,    6,  150,   40,   40,   50,  111,   84,   98,    0,    1,    0,    0,10175,   65,    8,   91,     ,    5,    0,    0,    0,    0,    0
  240,20171001,    7,  150,   40,   40,   60,  116,     ,  101,    3,   18,    0,    0,10175,   61,    6,   90,     ,    5,    0,    0,    0,    0,    0
  240,20171001,    8,  170,   60,   60,  100,  127,     ,  106,    5,   61,    0,    0,10174,   65,    8,   87,     ,    5,    0,    0,    0,    0,    0
  240,20171001,    9,  170,   60,   60,   90,  142,     ,  113,    4,   79,    0,    0,10175,   70,    8,   82,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   10,  170,   60,   70,  100,  158,     ,  114,    3,  107,    0,    0,10172,   75,    8,   75,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   11,  190,   90,  100,  140,  166,     ,  108,    4,  140,    0,    0,10168,   75,    8,   68,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   12,  170,  100,   90,  140,  165,  104,  110,    2,  122,    0,    0,10164,   80,    8,   69,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   13,  180,   90,   80,  140,  163,     ,  109,    0,   62,    0,    0,10161,   75,    8,   70,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   14,  170,   70,   70,  120,  163,     ,  113,    0,   45,    0,    0,10159,   75,    8,   72,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   15,  180,   80,   70,  110,  162,     ,  112,    0,   38,    0,    0,10154,   75,    8,   72,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   16,  180,   70,   80,  110,  161,     ,  111,    0,   21,    0,    0,10148,   75,    8,   72,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   17,  170,   80,   70,  130,  157,     ,  111,    0,    6,    0,    0,10145,   75,    8,   74,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   18,  180,   70,   70,  110,  156,  151,  117,    0,    0,    0,    0,10146,   75,    8,   77,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   19,  180,   80,   90,  130,  156,     ,  120,    0,    0,    0,    0,10141,   75,    8,   79,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   20,  170,   70,   60,  120,  153,     ,  118,    0,    0,    0,    0,10136,   75,    8,   79,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   21,  180,   70,   80,  110,  151,     ,  121,    0,    0,    0,    0,10131,   70,    8,   82,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   22,  180,   70,   80,  120,  151,     ,  124,    0,    0,    0,    0,10124,   70,    8,   84,     ,    5,    0,    0,    0,    0,    0
  240,20171001,   23,  170,   80,   80,  130,  144,     ,  130,    0,    0,    4,    1,10112,   65,    8,   91,   23,    7,    0,    1,    0,    0,    0
  240,20171001,   24,  180,   80,   80,  130,  148,  141,  135,    0,    0,    0,   -1,10102,   65,    8,   91,   81,    7,    0,    1,    0,    0,    0
  260,20171001,    1,  150,   20,   20,   30,   99,     ,   97,    0,    0,    0,    0,10184,   58,    2,   98,   10,    7,    0,    0,    0,    0,    0
  260,20171001,    2,  170,   20,   30,   40,  102,     ,   96,    0,    0,    0,    0,10182,   60,    0,   95,     ,    5,    0,    0,    0,    0,    0
  260,20171001,    3,  160,   20,   20,   40,   97,     ,   93,    0,    0,    0,    0,10184,   59,    5,   97,   10,    7,    0,    0,    0,    0,    0
  260,20171001,    4,  160,   20,   30,   40,   99,     ,   93,    0,    0,    0,    0,10183,   61,    8,   95,     ,    5,    0,    0,    0,    0,    0
  260,20171001,    5,  160,   30,   30,   50,  102,     ,   93,    0,    0,    0,    0,10181,   64,    2,   93,     ,    5,    0,    0,    0,    0,    0
  260,20171001,    6,  150,   30,   30,   40,   98,   80,   89,    0,    1,    0,    0,10182,   65,    1,   94,     ,    5,    0,    0,    0,    0,    0
  260,20171001,    7,  160,   30,   30,   50,  115,     ,   98,    7,   29,    0,    0,10182,   70,    8,   89,     ,    5,    0,    0,    0,    0,    0
  260,20171001,    8,  180,   30,   50,   70,  132,     ,  104,    4,   63,    0,    0,10181,   70,    8,   83,     ,    5,    0,    0,    0,    0,    0
  260,20171001,    9,  180,   40,   50,   70,  141,     ,  108,    5,   89,    0,    0,10181,   75,    8,   80,     ,    5,    0,    0,    0,    0,    0
  260,20171001,   10,  180,   40,   40,   90,  156,     ,  118,    2,  103,    0,    0,10178,   75,    8,   77,     ,    5,    0,    0,    0,    0,    0
  260,20171001,   11,  180,   60,   70,  110,  168,     ,  112,    8,  171,    0,    0,10176,   80,    8,   69,     ,    5,    0,    0,    0,    0,    0
  260,20171001,   12,  190,   60,   70,  120,  171,   88,  102,    2,  113,    0,    0,10172,   80,    8,   63,     ,    5,    0,    0,    0,    0,    0
  260,20171001,   13,  190,   70,   70,  130,  168,     ,  103,    1,   80,    0,    0,10168,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  260,20171001,   14,  180,   60,   60,  110,  165,     ,  105,    0,   31,    0,    0,10167,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  260,20171001,   15,  180,   60,   50,  110,  163,     ,  109,    0,   22,    0,    0,10161,   75,    8,   70,     ,    5,    0,    0,    0,    0,    0
  260,20171001,   16,  180,   50,   50,  100,  161,     ,  108,    0,   18,    0,    0,10158,   75,    8,   70,     ,    5,    0,    0,    0,    0,    0
  260,20171001,   17,  180,   40,   50,   90,  158,     ,  109,    0,    7,    0,   -1,10154,   75,    8,   72,   22,    7,    0,    1,    0,    0,    0
  260,20171001,   18,  180,   50,   50,   80,  158,  153,  109,    0,    0,    0,    0,10154,   75,    8,   72,    2,    7,    0,    0,    0,    0,    0
