# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
#
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag);
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT;
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur;
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak;
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur;
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur);
# Q        = Globale straling (in J/cm2) per uurvak;
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak;
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm);
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming;
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km);
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar);
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming;
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland;
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen);
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
#
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
#
  240,20170125,    1,  180,   30,   30,   60,    3,     ,   -1,    0,    0,    0,    0,10307,   23,    8,   97,   10,    7,    0,    0,    0,    0,    0
  240,20170125,    2,  150,   30,   30,   50,    3,     ,   -3,    0,    0,    0,    0,10307,   30,    8,   95,   10,    7,    0,    0,    0,    0,    0
  240,20170125,    3,  150,   30,   30,   50,    2,     ,   -5,    0,    0,    0,    0,10308,   24,    8,   95,   10,    7,    0,    0,    0,    0,    0
  240,20170125,    4,  140,   20,   20,   40,   -2,     ,   -6,    0,    0,    0,    0,10310,   16,    8,   96,   10,    7,    0,    0,    0,    0,    0
  240,20170125,    5,  120,   30,   20,   40,   -5,     ,   -9,    0,    0,    0,    0,10310,   21,    8,   97,   10,    7,    0,    0,    0,    0,    0
  240,20170125,    6,  130,   20,   20,   30,   -5,   -5,  -12,    0,    0,    0,    0,10311,   23,    8,   95,   10,    7,    0,    0,    0,    0,    0
  240,20170125,    7,  170,   30,   30,   50,  -10,     ,  -17,    0,    0,    0,    0,10313,   23,    8,   94,   10,    7,    0,    0,    0,    0,    0
  240,20170125,    8,  170,   20,   20,   40,   -9,     ,  -20,    0,    1,    0,    0,10315,   27,    8,   92,   10,    7,    0,    0,    0,    0,    0
  240,20170125,    9,  120,   30,   30,   40,   -4,     ,  -20,    0,    6,    0,    0,10316,   40,    8,   89,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   10,  130,   30,   40,   60,   -1,     ,  -17,    0,   14,    0,    0,10318,   34,    8,   88,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   11,  140,   30,   30,   50,    2,     ,  -21,    0,   18,    0,    0,10314,   36,    8,   84,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   12,  140,   30,   30,   60,    5,   -9,  -20,    0,   29,    0,    0,10306,   47,    8,   83,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   13,  120,   40,   50,   70,    5,     ,  -22,    0,   37,    0,    0,10299,   50,    8,   82,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   14,  120,   40,   30,   70,    3,     ,  -24,    0,   29,    0,    0,10297,   50,    8,   82,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   15,  130,   30,   30,   60,    0,     ,  -28,    0,   19,    0,    0,10295,   50,    8,   81,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   16,  120,   30,   30,   60,   -4,     ,  -28,    0,    5,    0,    0,10295,   48,    8,   83,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   17,  110,   40,   40,   60,   -7,     ,  -32,    0,    0,    0,    0,10295,   50,    8,   83,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   18,  110,   40,   40,   60,   -9,  -10,  -35,    0,    0,    0,    0,10297,   50,    8,   82,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   19,  110,   40,   30,   60,  -21,     ,  -46,    0,    0,    0,    0,10295,   56,    0,   83,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   20,   80,   20,   20,   40,  -32,     ,  -52,    0,    0,    0,    0,10293,   50,    0,   85,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   21,   90,   20,   30,   30,  -37,     ,  -56,    0,    0,    0,    0,10293,   57,    0,   86,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   22,   90,   30,   30,   40,  -34,     ,  -49,    0,    0,    0,    0,10288,   56,    0,   89,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   23,   90,   30,   30,   40,  -36,     ,  -51,    0,    0,    0,    0,10286,   56,    0,   89,   10,    7,    0,    0,    0,    0,    0
  240,20170125,   24,  110,   30,   40,   50,  -31,  -62,  -49,    0,    0,    0,    0,10284,   56,    0,   87,   10,    7,    0,    0,    0,    0,    0
  240,20170126,    1,  110,   40,   40,   60,  -34,     ,  -53,    0,    0,    0,    0,10280,   57,    0,   86,   10,    7,    0,    0,    0,    0,    0
  240,20170126,    2,  110,   40,   40,   60,  -36,     ,  -58,    0,    0,    0,    0,10276,   58,    0,   84,   10,    7,    0,    0,    0,    0,    0
