# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  240,20171008,    1,  290,   40,   40,   60,  120,     ,  106,    0,    0,    0,    0,10123,   74,    4,   91,     ,    5,    0,    0,    0,    0,    0
  240,20171008,    2,  290,   40,   50,   60,  129,     ,  111,    0,    0,    0,   -1,10125,   75,    6,   89,   23,    7,    0,    1,    0,    0,    0
  240,20171008,    3,  300,   50,   60,   90,  127,     ,  113,    0,    0,    0,   -1,10129,   73,    6,   91,   52,    7,    0,    1,    0,    0,    0
  240,20171008,    4,  310,   50,   50,   80,  124,     ,  104,    0,    0,    0,   -1,10135,   76,    6,   88,   23,    7,    0,    1,    0,    0,    0
  240,20171008,    5,  330,   50,   50,   80,  124,     ,  106,    0,    0,    0,   -1,10140,   63,    8,   89,   52,    7,    0,    1,    0,    0,    0
  240,20171008,    6,  310,   30,   30,   60,  118,  104,  110,    0,    0,    0,   -1,10148,   76,    7,   95,   22,    7,    0,    1,    0,    0,    0
  240,20171008,    7,  300,   20,   20,   40,  125,     ,  113,    0,    6,    0,   -1,10154,   81,    8,   92,   23,    7,    0,    1,    0,    0,    0
  240,20171008,    8,  320,   20,   20,   40,  128,     ,  110,    0,   19,    0,   -1,10163,   80,    8,   89,   23,    7,    0,    1,    0,    0,    0
  240,20171008,    9,   10,   30,   30,   50,  142,     ,  106,    5,   78,    0,    0,10169,   79,    4,   79,    1,    7,    0,    0,    0,    0,    0
  240,20171008,   10,  360,   30,   30,   50,  141,     ,   99,    6,  100,    0,    0,10176,   79,    8,   76,    3,    7,    0,    0,    0,    0,    0
  240,20171008,   11,  320,   30,   30,   80,  141,     ,   91,    5,  106,    0,    0,10179,   81,    8,   72,    2,    7,    0,    0,    0,    0,    0
  240,20171008,   12,  340,   40,   40,   90,  128,  108,   95,    2,   82,    0,   -1,10184,   77,    8,   80,   81,    7,    0,    1,    0,    0,    0
  240,20171008,   13,  340,   40,   40,   70,  139,     ,   97,    3,   79,    0,   -1,10186,   80,    8,   76,   23,    7,    0,    1,    0,    0,    0
  240,20171008,   14,  330,   30,   30,   60,  144,     ,   94,    6,  110,    0,    0,10186,   81,    8,   72,    2,    7,    0,    0,    0,    0,    0
  240,20171008,   15,  350,   30,   50,   80,  136,     ,   82,    6,   80,    0,    0,10188,   83,    8,   70,    2,    7,    0,    0,    0,    0,    0
  240,20171008,   16,  340,   40,   30,   60,  131,     ,   84,    0,   18,    0,    0,10191,   83,    8,   73,    2,    7,    0,    0,    0,    0,    0
  240,20171008,   17,  360,   30,   10,   50,  125,     ,   79,    0,    6,    0,    0,10196,   83,    8,   74,    2,    7,    0,    0,    0,    0,    0
  240,20171008,   18,  310,   10,   10,   40,  121,  110,   83,    0,    0,    0,    0,10201,   83,    8,   78,    2,    7,    0,    0,    0,    0,    0
  240,20171008,   19,  290,   10,   10,   20,  119,     ,   77,    0,    0,    0,    0,10205,   83,    8,   75,     ,    5,    0,    0,    0,    0,    0
  240,20171008,   20,    0,   10,    0,   10,  123,     ,   83,    0,    0,    0,    0,10206,   83,    8,   77,     ,    5,    0,    0,    0,    0,    0
  240,20171008,   21,  170,    0,   10,   10,  117,     ,   92,    0,    0,    0,    0,10208,   83,    8,   85,     ,    5,    0,    0,    0,    0,    0
  240,20171008,   22,  200,   10,   20,   20,  113,     ,   92,    0,    0,    0,    0,10206,   82,    8,   87,     ,    5,    0,    0,    0,    0,    0
  240,20171008,   23,  330,   10,   10,   20,  115,     ,   96,    0,    0,    0,    0,10206,   81,    8,   88,     ,    5,    0,    0,    0,    0,    0
  240,20171008,   24,  230,   20,   30,   40,  112,   99,   99,    0,    0,    0,    0,10206,   75,    8,   92,    2,    7,    0,    0,    0,    0,    0
  260,20171008,    1,  270,   20,   20,   40,  119,     ,  112,    0,    0,    0,    0,10124,   72,    1,   95,     ,    5,    0,    0,    0,    0,    0
  260,20171008,    2,  260,   20,   20,   50,  118,     ,  110,    0,    0,    0,    0,10127,   74,    0,   95,     ,    5,    0,    0,    0,    0,    0
  260,20171008,    3,  260,   20,   30,   50,  118,     ,  110,    0,    0,    0,    0,10129,   72,    1,   95,     ,    5,    0,    0,    0,    0,    0
