# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 310:         3.596       51.442       8.00  VLISSINGEN
# 391:         6.197       51.498      19.50  ARCEN
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
260,20170915,    1,  220,   20,   20,   30,  104,     ,   97,    0,    0,    0,   -1,10110,   65,    7,   95,   81,    7,    0,    1,    0,    0,    0
  260,20170915,    2,  220,   30,   30,   60,  105,     ,   98,    0,    0,   10,   25,10110,   65,    8,   95,   61,    7,    0,    1,    0,    0,    0
  260,20170915,    3,  240,   20,   20,   50,  105,     ,   99,    0,    0,    2,    2,10110,   65,    8,   95,   57,    7,    0,    1,    0,    0,    0
  260,20170915,    4,  220,   20,   20,   50,  105,     ,   97,    0,    0,    8,    5,10107,   65,    8,   94,   51,    7,    0,    1,    0,    0,    0
  260,20170915,    5,  220,   30,   30,   70,  102,     ,   89,    0,    0,    7,    6,10103,   65,    8,   91,   81,    7,    0,    1,    0,    0,    0
  260,20170915,    6,  210,   30,   30,   40,   98,   83,   88,    0,    5,    0,   -1,10102,   65,    5,   93,   23,    7,    0,    1,    0,    0,    0
  260,20170915,    7,  210,   20,   20,   50,  113,     ,   99,    5,   45,    0,    0,10103,   65,    3,   91,     ,    5,    0,    0,    0,    0,    0
  260,20170915,    8,  220,   30,   40,   70,  127,     ,   99,   10,  107,    0,    0,10105,   70,    0,   83,     ,    5,    0,    0,    0,    0,    0
  260,20170915,    9,  220,   30,   30,   70,  143,     ,  102,    9,  148,    0,    0,10105,   75,    1,   76,     ,    5,    0,    0,    0,    0,    0
  260,20170915,   10,  210,   40,   40,   70,  147,     ,  103,    9,  188,    0,    0,10103,   75,    2,   74,     ,    5,    0,    0,    0,    0,    0
  260,20170915,   11,  250,   40,   30,   70,  154,     ,   95,    6,  144,    0,    0,10103,   80,    4,   67,     ,    5,    0,    0,    0,    0,    0
  260,20170915,   12,  280,   30,   30,   70,  131,   92,   90,    3,  107,    0,   -1,10106,   69,    8,   76,   81,    7,    0,    1,    0,    0,    0
  260,20170915,   13,  240,   20,   10,   50,  150,     ,   95,    1,   89,    0,   -1,10102,   80,    6,   69,   23,    7,    0,    1,    0,    0,    0
  260,20170915,   14,  280,   30,   30,   70,  149,     ,   88,    1,   68,    0,    0,10098,   80,    7,   67,     ,    5,    0,    0,    0,    0,    0
  260,20170915,   15,  280,   50,   40,   90,  151,     ,   86,    7,   89,    0,    0,10096,   80,    3,   65,    1,    7,    0,    0,    0,    0,    0
  260,20170915,   16,  260,   40,   50,   90,  151,     ,   75,   10,  112,    0,    0,10097,   83,    2,   60,     ,    5,    0,    0,    0,    0,    0
  260,20170915,   17,  270,   40,   30,   90,  142,     ,   80,   10,   54,    0,    0,10097,   80,    0,   65,     ,    5,    0,    0,    0,    0,    0
  260,20170915,   18,  240,   30,   30,   70,  128,  118,   82,    3,    9,    0,    0,10098,   75,    1,   73,    3,    7,    0,    0,    0,    0,    0
  260,20170915,   19,  240,   30,   30,   60,  124,     ,   84,    0,    0,    0,    0,10099,   75,    6,   76,     ,    5,    0,    0,    0,    0,    0
  260,20170915,   20,  230,   30,   30,   50,  116,     ,   92,    0,    0,    0,   -1,10099,   70,    7,   84,   23,    7,    0,    1,    0,    0,    0
  260,20170915,   21,  240,   30,   30,   50,  113,     ,  100,    0,    0,    0,    0,10100,   65,    6,   91,    1,    7,    0,    0,    0,    0,    0
  260,20170915,   22,  250,   20,   30,   50,  113,     ,  107,    0,    0,    5,    2,10100,   65,    8,   95,   81,    7,    0,    1,    0,    0,    0
  260,20170915,   23,  240,   20,   20,   50,  112,     ,  107,    0,    0,    0,   -1,10098,   65,    8,   97,   23,    7,    0,    1,    0,    0,    0
  260,20170915,   24,  240,   20,   20,   40,  110,  107,  106,    0,    0,    3,    1,10098,   65,    8,   97,   81,    7,    0,    1,    0,    0,    0
  285,20170915,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
  285,20170915,    2,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
  285,20170915,    3,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,    6,     ,     ,     ,     ,     
