# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 277:         6.200       53.413       2.90  LAUWERSOOG
# 285:         6.399       53.575       0.00  HUIBERTGAT
#
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag);
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT;
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur;
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak;
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur;
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming;
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur);
# Q        = Globale straling (in J/cm2) per uurvak;
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak;
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm);
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming;
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km);
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar);
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming;
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland;
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen);
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming;
#
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
#
  240,20171009,    1,  190,   20,   20,   30,  107,     ,   97,    0,    0,    0,    0,10204,   82,    8,   94,     ,    5,    0,    0,    0,    0,    0
  240,20171009,    2,  180,   20,   20,   30,  108,     ,   95,    0,    0,    0,    0,10201,   82,    8,   92,     ,    5,    0,    0,    0,    0,    0
  240,20171009,    3,  160,   20,   20,   30,  110,     ,  100,    0,    0,    0,   -1,10197,   67,    8,   94,   81,    7,    0,    1,    0,    0,    0
  240,20171009,    4,  170,   20,   30,   30,  110,     ,  104,    0,    0,    0,   -1,10193,   64,    8,   96,   23,    7,    0,    1,    0,    0,    0
  240,20171009,    5,  170,   30,   30,   40,  112,     ,  105,    0,    0,    0,    0,10192,   60,    8,   95,    2,    7,    0,    0,    0,    0,    0
  240,20171009,    6,  170,   20,   20,   30,  112,  100,  106,    0,    0,    0,    0,10192,   60,    8,   96,    2,    7,    0,    0,    0,    0,    0
  240,20171009,    7,  150,   10,   20,   30,  114,     ,  108,    0,    2,    2,    4,10190,   50,    8,   96,   58,    7,    0,    1,    0,    0,    0
  240,20171009,    8,  150,   20,   20,   30,  118,     ,  114,    0,    8,    4,   14,10192,   43,    8,   97,   82,    7,    0,    1,    0,    0,    0
  240,20171009,    9,  160,   30,   30,   40,  122,     ,  116,    0,   10,    5,    5,10192,   60,    8,   96,   81,    7,    0,    1,    0,    0,    0
  240,20171009,   10,  220,   40,   50,   70,  128,     ,  116,    0,   19,    4,    1,10192,   50,    8,   92,   81,    7,    0,    1,    0,    0,    0
  240,20171009,   11,    0,   20,    0,   50,  121,     ,  109,    0,   15,    9,   11,10188,   50,    8,   92,   53,    7,    0,    1,    0,    0,    0
  240,20171009,   12,  170,   10,   20,   30,  123,  108,  117,    0,    9,    8,    5,10184,   59,    8,   96,   61,    7,    0,    1,    0,    0,    0
  240,20171009,   13,  190,   30,   30,   40,  130,     ,  123,    0,   33,    0,   -1,10179,   62,    8,   96,   23,    7,    0,    1,    0,    0,    0
  240,20171009,   14,  270,   30,   30,   50,  144,     ,  121,    0,   35,    0,    0,10176,   80,    8,   86,    2,    7,    0,    0,    0,    0,    0
  240,20171009,   15,  270,   50,   40,   90,  133,     ,  122,    0,   17,    3,    1,10174,   60,    8,   93,   81,    7,    0,    1,    0,    0,    0
  240,20171009,   16,  260,   30,   20,   50,  133,     ,  127,    0,    7,    3,    2,10172,   73,    8,   96,   23,    7,    0,    1,    0,    0,    0
  240,20171009,   17,  250,   30,   20,   50,  134,     ,  124,    0,    2,    0,   -1,10171,   62,    8,   94,   81,    7,    0,    1,    0,    0,    0
  240,20171009,   18,  260,   20,   20,   40,  135,  122,  118,    0,    0,    0,   -1,10168,   81,    8,   89,   23,    7,    0,    1,    0,    0,    0
  240,20171009,   19,  170,   20,   20,   30,  128,     ,  121,    0,    0,    0,    0,10165,   65,    8,   96,     ,    5,    0,    0,    0,    0,    0
  240,20171009,   20,  200,   40,   50,   70,  132,     ,  116,    0,    0,    0,    0,10160,   72,    8,   90,     ,    5,    0,    0,    0,    0,    0
  240,20171009,   21,  200,   40,   40,   60,  132,     ,  124,    0,    0,    3,    3,10157,   59,    8,   95,   58,    7,    0,    1,    0,    0,    0
  240,20171009,   22,  210,   40,   50,   80,  136,     ,  128,    0,    0,    5,    9,10153,   56,    8,   95,   58,    7,    0,    1,    0,    0,    0
  240,20171009,   23,  200,   50,   40,   70,  134,     ,  128,    0,    0,    6,    6,10148,   60,    8,   96,   23,    7,    0,    1,    0,    0,    0
  240,20171009,   24,  210,   40,   40,   60,  134,  123,  131,    0,    0,    7,   15,10145,   42,    8,   98,   81,    7,    0,    1,    0,    0,    0
  260,20171009,    1,  150,   10,   10,   10,  102,     ,   96,    0,    0,    0,    0,10206,   81,    8,   96,     ,    5,    0,    0,    0,    0,    0
  260,20171009,    2,  220,   10,   20,   30,  107,     ,   94,    0,    0,    0,    0,10204,   81,    8,   92,     ,    5,    0,    0,    0,    0,    0
  260,20171009,    3,  200,   20,   20,   40,  109,     ,   93,    0,    0,    0,    0,10200,   80,    8,   90,     ,    5,    0,    0,    0,    0,    0
