id,value
flare,
flare.analytics,
flare.analytics.cluster,
flare.analytics.cluster.China,1386840000
flare.analytics.cluster.India,1322360000
flare.analytics.cluster.United States,325907000
flare.analytics.cluster.Indonesia,261890900
flare.analytics.cluster.Pakistan,209189000
flare.analytics.cluster.Brazil,208107000
flare.analytics.cluster.Nigeria,193500543
flare.analytics.cluster.Bangladesh,163280000
flare.analytics.cluster.Russia,146809643
flare.analytics.cluster.Japan,126670000
flare.analytics.cluster.Mexico,123364426
flare.analytics.cluster.Philippines,104718000
flare.analytics.cluster.Egypt,95904400
flare.analytics.cluster.Ethiopia,94351001
flare.analytics.cluster.Vietnam,93700000	
flare.analytics.cluster.Germany,82800000
flare.analytics.cluster.Congo,81339988
flare.analytics.cluster.Iran,80493700
flare.analytics.cluster.Turkey,79814871
flare.analytics.cluster.Thailand,69037513
flare.analytics.cluster.France,67135000
flare.analytics.cluster.United Kingdom,65648100
flare.analytics.cluster.Italia,60525277
flare.analytics.cluster.Tanzania,57310000
flare.analytics.cluster.South Africa,56521900
flare.analytics.cluster.Myanmar,53370609
flare.analytics.cluster.South Korea,51446201
