id,value
kevin,
kevin.food
kevin.food.Chocolate,100
kevin.food.Dumpling,5000
kevin.food.BubbleTea,2351
kevin.food.Pistachio,1300
kevin.food.Donut,3100
kevin.programs
kevin.programs.favorite.VisualStudioCode,8743
kevin.programs.general.Atom,4743
kevin.programs.general.SublimeText,743
kevin.programs.favorite.Sketch,6743
kevin.programs.favorite.Illustrator,1743
kevin.programs.general.Alfred,2743
kevin.programs.general.PostMan,4743
kevin.colors
kevin.colors.like.blue,4312
kevin.colors.like.black,9312
kevin.colors.like.red,1234
kevin.colors.like.lightPink,456
kevin.colors.normal.yellow, 329
kevin.colors.normal.green, 4329
