id,value
lau,
lau.eten,
lau.eten.PastaCarbonara,3938
lau.eten.Pizza,3812
lau.eten.Salade,3812
lau.eten.Cracker,3812
lau.eten.Brood,3812
lau.hobby,
lau.hobby.Voetbal,17010
lau.hobby.Gamen,5842
lau.hobby.Vrienden,
lau.hobby.Netflix,3000
lau.hobby.VoetbalKijken,1983
lau.vrienden,
lau.vrienden.Lioz,7000
lau.vrienden.Laura,9000
lau.vrienden.Mike,6000
lau.vrienden.Marjolein,4000
lau.vrienden.Maurice,8000
lau.games,
lau.games.Fifa,8000
lau.games.Battlefield,5000
lau.games.AssasinsCreed,1500
lau.games.GTA,3000
lau.apps,
lau.apps.RedsLive,4116
lau.apps.433,4116
lau.apps.WhatsApp,4116
lau.apps.NU,4116
lau.apps.Dumpert,4116
