id,value
flare,
flare.coffee,
flare.coffee.cluster,
flare.coffee.cluster.Caffeine,2387
flare.calories,
flare.calories.ActiveCalories,1118
flare.calories.RestingCalories,5444
flare.calories.CaloriesEaten,2246
flare.Proteine,
flare.Proteine.Goal,1000.0
flare.Proteine.ActualIntake,1610.0
flare.Proteine.WhichCarbs,840.0
flare.feelings,
flare.feelings.emotions,
flare.feelings.emotions.Happy,6000
flare.feelings.emotions.Angry,200
flare.feelings.emotions.Sad,200
flare.feelings.emotions.Neutral,5000
flare.socialmedia,
flare.socialmedia.Youtube,1000
flare.socialmedia.Twitter,2000
flare.socialmedia.Facebook,500
flare.socialmedia.Whatsapp,800
flare.socialmedia.Telegram,300
flare.socialmedia.Snapchat,100
flare.music,
flare.music.Itunes,
flare.music.Itunes.SoulectionRadio,2000
flare.music.Itunes.Hip-hop,5000
flare.music.Itunes.R&B,3000
flare.music.Itunes.DeepHouse,600
flare.music.Itunes.Latin,800
flare.music.Spotify,
flare.music.Spotify.Rock,200
flare.music.Spotify.Drum&Bass,300
flare.music.Spotify.Indie,500
flare.music.Spotify.Soundtracks,900



