date,temp
19010131,-0.424
19010228,-0.761
19010331,3.369
19010430,8.782
19010531,12.181
19010630,14.363
19010731,18.402
19010831,16.36
19010930,14.567
19011031,10.451
19011130,5.307
19011231,3.057
19020131,4.478
19020228,-0.237
19020331,5.113
19020430,8.234
19020531,9.334
19020630,15.446
19020731,15.169
19020831,14.488
19020930,13.009
19021031,8.74
19021130,3.779
19021231,0.908
19030131,2.809
19030228,5.755
19030331,6.989
19030430,5.28
19030531,12.765
19030630,13.971
19030731,15.223
19030831,14.922
19030930,14.295
19031031,11.329
19031130,5.715
19031231,0.903
19040131,0.621
19040228,3.095
19040331,3.594
19040430,9.362
19040531,12.048
19040630,14.067
19040731,17.699
19040831,15.676
19040930,12.28
19041031,9.364
19041130,5.527
19041231,4.141
19050131,1.155
19050228,3.742
19050331,5.819
19050430,6.344
19050531,11.879
19050630,16.602
19050731,17.636
19050831,15.659
19050930,12.779
19051031,6.649
19051130,3.792
19051231,2.456
19060131,3.454
19060228,2.495
19060331,3.818
19060430,7.263
19060531,12.459
19060630,13.991
19060731,16.658
19060831,16.587
19060930,13.265
19061031,11.952
19061130,7.908
19061231,0.278
19070131,1.563
19070228,0.876
19070331,4.575
19070430,7.245
19070531,12.516
19070630,13.373
19070731,13.567
19070831,14.912
19070930,13.63
19071031,11.467
19071130,5.83
19071231,3.264
19080131,-1.27
19080228,3.811
19080331,3.432
19080430,5.801
19080531,13.102
19080630,16.016
19080731,16.353
19080831,14.943
19080930,13.522
19081031,10.091
19081130,4.539
19081231,1.246
19090131,0.725
19090228,0.749
19090331,2.837
19090430,8.263
19090531,11.307
19090630,12.925
19090731,14.497
19090831,15.916
19090930,13.045
19091031,11.274
19091130,4.545
19091231,3.29
19100131,3.421
19100228,4.18
19100331,5.062
19100430,7.545
19100531,12.619
19100630,16.09
19100731,14.934
19100831,15.776
19100930,13.297
19101031,10.515
19101130,3.46
19101231,5.789
19110131,1.046
19110228,3.671
19110331,5.006
19110430,6.848
19110531,13.982
19110630,14.426
19110731,18.236
19110831,19.072
19110930,14.346
19111031,9.678
19111130,5.912
19111231,5.262
19120131,1.845
19120228,4.148
19120331,7.334
19120430,8.437
19120531,11.678
19120630,14.838
19120731,18.061
19120831,13.796
19120930,10.618
19121031,8.097
